Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
2.98E+07	6.66E+09	400474970.127090	5.98E+12	6.66E+09	400474970.127090	5.98E+12	6.66E+09	400474970.127090
1.70E+05	4636.8111199182	573846244.828340	2.35E+03	4636.8111199182	573846244.828340	2.35E+03	4636.8111199182	573846244.828340
19.6058161857	1.09E+03	586799711.598490	9.20E+02	1.09E+03	586799711.598490	9.20E+02	1.09E+03	586799711.598490
3.66E+02	1.06E+03	587685418.115320	1.23E+03	1.06E+03	587685418.115320	1.23E+03	1.06E+03	587685418.115320
2.58E+04	1.27E+03	594906213.497410	3.60E+01	1.27E+03	594906213.497410	3.60E+01	1.27E+03	594906213.497410
4.35E-03	1.88E+03	685176189.601620	4.67E+05	1.88E+03	685176189.601620	4.67E+05	1.88E+03	685176189.601620
4.26E+03	6.83E+02	701207325.568950	1.05E+03	6.83E+02	701207325.568950	1.05E+03	6.83E+02	701207325.568950
7.34E+01	3.84E+03	730390196.634140	1.83E+04	3.84E+03	730390196.634140	1.83E+04	3.84E+03	730390196.634140
9.72E-04	1.48E+01	730846810.627730	8.91E+00	1.48E+01	730846810.627730	8.91E+00	1.48E+01	730846810.627730
1.98E+00	14.4704033947	731655719.844010	1.64E+00	14.4704033947	731655719.844010	1.64E+00	14.4704033947	731655719.844010
0.9945374282	1.44E+01	747229707.329230	2.15E+03	1.44E+01	747229707.329230	2.15E+03	1.44E+01	747229707.329230
3.94E-03	1.93E+04	854703143.064460	9.59E+03	1.93E+04	854703143.064460	9.59E+03	1.93E+04	854703143.064460
1.08E-01	8602.1130686759	926951121.879650	1.38E+06	8602.1130686759	926951121.879650	1.38E+06	8602.1130686759	926951121.879650
7.01E+04	7.20E+03	959077607.815990	5.30E+03	7.20E+03	959077607.815990	5.30E+03	7.20E+03	959077607.815990
1.80E+02	1.42E+04	1039060431.735900	3.21E+03	1.42E+04	1039060431.735900	3.21E+03	1.42E+04	1039060431.735900
1.61E+01	1.34E+02	1049355382.735900	6.45E+02	1.34E+02	1049355382.735900	6.45E+02	1.34E+02	1049355382.735900
1.16E-01	8.92E+01	1060734562.813100	2.88E+02	8.92E+01	1060734562.813100	2.88E+02	8.92E+01	1060734562.813100
