Rl	Ql	fl	Rxd	Qxd	fxd	Ryd	Qyd	fyd
2.98E+07	6.66E+09	400474970.127090	2.20E+07	6.66E+09	400474970.127090	1.20E+13	6.66E+09	400474970.127090
1.70E+05	4636.8111199182	573846244.828340	3.21E+02	4636.8111199182	573846244.828340	4.38E+03	4636.8111199182	573846244.828340
19.6058161857	1.09E+03	586799711.598490	1825.6840370564	1.09E+03	586799711.598490	13.5935216456	1.09E+03	586799711.598490
3.66E+02	1.06E+03	587685418.115320	2.45E+03	1.06E+03	587685418.115320	1.37E+01	1.06E+03	587685418.115320
2.58E+04	1.27E+03	594906213.497410	3.91E+01	1.27E+03	594906213.497410	3.29E+01	1.27E+03	594906213.497410
4.35E-03	1.88E+03	685176189.601620	9.34E+05	1.88E+03	685176189.601620	4.36E-01	1.88E+03	685176189.601620
4.26E+03	6.83E+02	701207325.568950	1.07E+03	6.83E+02	701207325.568950	1.03E+03	6.83E+02	701207325.568950
7.34E+01	3.84E+03	730390196.634140	2.58E+01	3.84E+03	730390196.634140	3.66E+04	3.84E+03	730390196.634140
9.72E-04	1.48E+01	730846810.627730	1.70E+01	1.48E+01	730846810.627730	8.29E-01	1.48E+01	730846810.627730
1.98E+00	14.4704033947	731655719.844010	3.24E-01	14.4704033947	731655719.844010	2.96E+00	14.4704033947	731655719.844010
0.9945374282	1.44E+01	747229707.329230	0.0884166738	1.44E+01	747229707.329230	4298.4246037774	1.44E+01	747229707.329230
3.94E-03	1.93E+04	854703143.064460	1.92E+04	1.93E+04	854703143.064460	1.55E+01	1.93E+04	854703143.064460
1.08E-01	8602.1130686759	926951121.879650	2.75E+06	8602.1130686759	926951121.879650	9.15E+00	8602.1130686759	926951121.879650
7.01E+04	7.20E+03	959077607.815990	2.97E+02	7.20E+03	959077607.815990	1.03E+04	7.20E+03	959077607.815990
1.80E+02	1.42E+04	1039060431.735900	7.36E+00	1.42E+04	1039060431.735900	6.42E+03	1.42E+04	1039060431.735900
1.61E+01	1.34E+02	1049355382.735900	8.52E-01	1.34E+02	1049355382.735900	1.29E+03	1.34E+02	1049355382.735900
1.16E-01	8.92E+01	1060734562.813100	5.76E+02	8.92E+01	1060734562.813100	1.08E+00	8.92E+01	1060734562.813100
1.92E+01	9.30E+01	1063764225.466300	5.32E+00	9.30E+01	1063764225.466300	8.77E+01	9.30E+01	1063764225.466300
9.67E-01	2.70E+02	1086388860.371400	6.27E-01	2.70E+02	1086388860.371400	1.47E+03	2.70E+02	1086388860.371400
1.73E-04	1.64E+03	1142331174.444500	5.52E+02	1.64E+03	1142331174.444500	2.46E+00	1.64E+03	1142331174.444500
2.35E+02	8.15E+03	1172526553.500500	7.28E+00	8.15E+03	1172526553.500500	1.32E+04	8.15E+03	1172526553.500500
5.42E-01	1.56E+04	1216278043.703200	1.69E+05	1.56E+04	1216278043.703200	7.06E+00	1.56E+04	1216278043.703200
5.27E+04	4.06E+03	1260791890.250800	9.43E+02	4.06E+03	1260791890.250800	9.22E+04	4.06E+03	1260791890.250800
2.01E+04	6.54E+03	1295594742.730300	1.78E+02	6.54E+03	1295594742.730300	7.46E+05	6.54E+03	1295594742.730300
1.78E-03	2.25E+03	1384428530.070000	2.46E+03	2.25E+03	1384428530.070000	1.14E+00	2.25E+03	1384428530.070000
2.41E+02	9.44E+02	1437858395.073700	5.08E+00	9.44E+02	1437858395.073700	7.47E+04	9.44E+02	1437858395.073700
7.30E-06	4.80E+03	1454714547.605300	1.07E+03	4.80E+03	1454714547.605300	2.79E+00	4.80E+03	1454714547.605300
1.35E+00	1.08E+04	1499932205.903300	5.35E+05	1.08E+04	1499932205.903300	8.27E+00	1.08E+04	1499932205.903300
9.87E-02	1.23E+00	1502416772.172100	2.55E-02	1.23E+00	1502416772.172100	2.34E+01	1.23E+00	1502416772.172100
7.50E+01	1.20E+02	1512713484.289900	4.34E+00	1.20E+02	1512713484.289900	4.21E+02	1.20E+02	1512713484.289900
6.32E-01	1.12E+02	1515941169.125800	5.27E+02	1.12E+02	1515941169.125800	3.13E+00	1.12E+02	1515941169.125800
1.83E+01	2.87E+02	1552804116.837900	5.91E-01	2.87E+02	1552804116.837900	2.11E+04	2.87E+02	1552804116.837900
2.12E+04	2.73E+03	1585197553.861100	1.25E+03	2.73E+03	1585197553.861100	2.49E+04	2.73E+03	1585197553.861100
1.44E+03	1.64E+03	1618604189.925400	2.01E+01	1.64E+03	1618604189.925400	1.50E+03	1.64E+03	1618604189.925400
7.66E-01	2.26E+03	1620558842.702300	2.89E+04	2.26E+03	1620558842.702300	1.35E+00	2.26E+03	1620558842.702300
6.65E+03	3.69E+04	1640505337.394200	4.24E+02	3.69E+04	1640505337.394200	1.39E+05	3.69E+04	1640505337.394200
4.54E-01	2.42E+04	1659980730.756100	6.28E+05	2.42E+04	1659980730.756100	2.64E+01	2.42E+04	1659980730.756100
4.13E+02	3.12E+05	1664604618.068700	6.26E+04	3.12E+05	1664604618.068700	3.55E+01	3.12E+05	1664604618.068700
1.96E+01	3.55E+04	1664752777.380200	3.45E+04	3.55E+04	1664752777.380200	5.95E+01	3.55E+04	1664752777.380200
3.31E+03	6.41E+05	1664853298.461300	3.25E+04	6.41E+05	1664853298.461300	4.00E+03	6.41E+05	1664853298.461300
2.63E+00	2.82E+03	1666296950.743500	8.99E+03	2.82E+03	1666296950.743500	9.07E+00	2.82E+03	1666296950.743500
2.16E+04	6.07E+03	1666530153.079400	4.36E+01	6.07E+03	1666530153.079400	1.27E+04	6.07E+03	1666530153.079400
9.22E+02	1.65E+03	1685058297.945500	4.79E+01	1.65E+03	1685058297.945500	6.57E+02	1.65E+03	1685058297.945500
1.55E-01	4.94E+03	1742516735.805800	8.50E+04	4.94E+03	1742516735.805800	1.70E+00	4.94E+03	1742516735.805800
4.24E+02	5.80E+03	1746212427.989800	2.47E+00	5.80E+03	1746212427.989800	5.15E+05	5.80E+03	1746212427.989800
5.91E-01	2.79E+04	1749750354.984200	1.41E+05	2.79E+04	1749750354.984200	2.03E+01	2.79E+04	1749750354.984200
1.12E+03	4.16E+06	1754386476.849900	3.62E+08	4.16E+06	1754386476.849900	2.92E+03	4.16E+06	1754386476.849900
5.98E+04	1.51E+04	1789287371.961600	9.05E+02	1.51E+04	1789287371.961600	1.95E+05	1.51E+04	1789287371.961600
1.26E+02	6.75E+04	1832589118.926500	5.08E+01	6.75E+04	1832589118.926500	5.13E+04	6.75E+04	1832589118.926500
7.76E+02	9.99E+03	1840913239.695500	1.74E+02	9.99E+03	1840913239.695500	6.68E+05	9.99E+03	1840913239.695500
2.39E+00	2.64E+04	1856092387.307500	8.34E+05	2.64E+04	1856092387.307500	4.26E+01	2.64E+04	1856092387.307500
1.46E+04	8.82E+04	1856670840.637600	2.91E+03	8.82E+04	1856670840.637600	3.11E+06	8.82E+04	1856670840.637600
1.60E+04	5.89E+03	1895201636.702400	1.53E+03	5.89E+03	1895201636.702400	4.06E+04	5.89E+03	1895201636.702400
1.15E+00	1.02E+05	1921463692.611500	3.71E+06	1.02E+05	1921463692.611500	7.35E+01	1.02E+05	1921463692.611500
3.99E-02	4.53E+03	1949189392.925800	1.72E+05	4.53E+03	1949189392.925800	1.42E+01	4.53E+03	1949189392.925800
3.17E+04	7.89E+03	1954795878.753600	9.01E+02	7.89E+03	1954795878.753600	6.88E+04	7.89E+03	1954795878.753600
3.43E+00	5.44E+04	1962251763.947900	2.30E+05	5.44E+04	1962251763.947900	3.17E+02	5.44E+04	1962251763.947900
