1e+06,1.6755e-05,3351.1
2e+06,3.3511e-05,3351.1
3e+06,5.0271e-05,3351.2
4e+06,6.7034e-05,3351.4
5e+06,8.3802e-05,3351.6
6e+06,0.00010057,3351.8
7e+06,0.00011736,3352.1
8e+06,0.00013415,3352.4
9e+06,0.00015095,3352.7
1e+07,0.00016776,3353.1
1.1e+07,0.00018458,3353.6
1.2e+07,0.00020142,3354.1
1.3e+07,0.00021828,3354.6
1.4e+07,0.00023515,3355.1
1.5e+07,0.00025203,3355.8
1.6e+07,0.00026894,3356.4
1.7e+07,0.00028587,3357.1
1.8e+07,0.00030282,3357.8
1.9e+07,0.00031978,3358.6
2e+07,0.00033679,3359.4
2.1e+07,0.00035381,3360.3
2.2e+07,0.00037085,3361.2
2.3e+07,0.00038793,3362.1
2.4e+07,0.00040504,3363.1
2.5e+07,0.00042217,3364.2
2.6e+07,0.00043933,3365.2
2.7e+07,0.00045655,3366.4
2.8e+07,0.00047378,3367.5
2.9e+07,0.00049104,3368.7
3e+07,0.00050836,3370
3.1e+07,0.00052571,3371.3
3.2e+07,0.00054309,3372.6
3.3e+07,0.00056052,3374
3.4e+07,0.000578,3375.4
3.5e+07,0.00059552,3376.9
3.6e+07,0.00061307,3378.4
3.7e+07,0.00063069,3380
3.8e+07,0.00064835,3381.6
3.9e+07,0.00066605,3383.2
4e+07,0.00068381,3384.9
4.1e+07,0.00070163,3386.6
4.2e+07,0.0007195,3388.4
4.3e+07,0.00073741,3390.2
4.4e+07,0.0007554,3392.1
4.5e+07,0.00077344,3394
4.6e+07,0.00079153,3395.9
4.7e+07,0.00080969,3397.9
4.8e+07,0.00082793,3400
4.9e+07,0.00084621,3402.1
5e+07,0.00086456,3404.2
5.1e+07,0.00088299,3406.4
5.2e+07,0.00090149,3408.6
5.3e+07,0.00092004,3410.9
5.4e+07,0.00093867,3413.2
5.5e+07,0.0009574,3415.6
5.6e+07,0.00097618,3418
5.7e+07,0.00099504,3420.5
5.8e+07,0.001014,3423
5.9e+07,0.001033,3425.6
6e+07,0.0010521,3428.2
6.1e+07,0.0010713,3430.8
6.2e+07,0.0010906,3433.5
6.3e+07,0.00111,3436.3
6.4e+07,0.0011294,3439.1
6.5e+07,0.001149,3441.9
6.6e+07,0.0011686,3444.8
6.7e+07,0.0011883,3447.8
6.8e+07,0.0012082,3450.8
6.9e+07,0.0012281,3453.8
7e+07,0.0012481,3456.9
7.1e+07,0.0012683,3460
7.2e+07,0.0012885,3463.2
7.3e+07,0.0013089,3466.5
7.4e+07,0.0013293,3469.8
7.5e+07,0.0013499,3473.1
7.6e+07,0.0013706,3476.5
