Freq[Hz] Zlong_Re Zlong_Im Zxdip_Re Zxdip_Im Zydip_Re Zydip_Im Zxquad_Re Zxquad_Im Zyquad_Re Zyquad_Im
1e-5 1 1 1 1 1 1 1 1 1 1
709.389 1.00899983644651 1.04967157929989 1.00387244337283 1.02671760758191 0.999339232572755 0.999097664634843 0.991084791925327 0.957989850957761 0.990051051342160 0.955550236913422
733.035 1.00920554032258 1.05179548204424 1.00431054227749 1.02779793695904 0.999362337668166 0.999087427441024 0.990294282800826 0.956567196005753 0.989208319958804 0.954069436117865
756.681 1.00940347194381 1.05401739926412 1.00474852773982 1.02888669600614 0.999384677569983 0.999075904737821 0.989510440789922 0.955138777958715 0.988372531004264 0.952583391694134
780.328 1.00958823247595 1.05634259904796 1.00518438663182 1.02997828353108 0.999406037052009 0.999062896624973 0.988739029484838 0.953716009895144 0.987549819262576 0.951104152252341
803.974 1.00975700483902 1.05877312386678 1.00561644119922 1.03106533414224 0.999426228478039 0.999048202047993 0.987985250165814 0.952310953205622 0.986745733014008 0.949644408182970
827.62 1.00990940243185 1.06130560653420 1.00604300532114 1.03213818915765 0.999445069955798 0.999031635382046 0.987254132060251 0.950936308869249 0.985965636479679 0.948217470794958
851.266 1.01004685477761 1.06393006434486 1.00646205639548 1.03318518173284 0.999462367423617 0.999013059497509 0.986550833301365 0.949604679588802 0.985215026807704 0.946836493435439
874.913 1.01017188859144 1.06663028537544 1.00687100627930 1.03419392512574 0.999477908532624 0.998992431448938 0.985880741857554 0.948327114953704 0.984499637811340 0.945512957234385
898.559 1.01028750430892 1.06938609578666 1.00726665167083 1.03515354315878 0.999491472460505 0.998969849629177 0.985249274775973 0.947111213069795 0.983825228857529 0.944254702502619
922.205 1.01039668124044 1.07217707247064 1.00764537429367 1.03605736808665 0.999502859265350 0.998945583840204 0.984661342304580 0.945959317868763 0.983197020187156 0.943064070637322
945.852 1.01050201101694 1.07498671974597 1.00800361911291 1.03690519397987 0.999511936179178 0.998920067640979 0.984120529097774 0.944867506436078 0.982618831748646 0.941936872239314
969.498 1.01060546359511 1.07780581650837 1.00833859802667 1.03770402073612 0.999518690930815 0.998893841855009 0.983628176034517 0.943825930283214 0.982092117270105 0.940862761232774
993.144 1.01070823564878 1.08063391587512 1.00864905097637 1.03846667429852 0.999523274809981 0.998867459670129 0.983182653165780 0.942820626640306 0.981615199760654 0.939827129424860
1016.79 1.01081073565755 1.08347852355692 1.00893579380634 1.03920866985489 0.999526013892812 0.998841384680122 0.982779149781382 0.941836331712181 0.981183048822087 0.938814033401771
1040.44 1.01091266944375 1.08635226132401 1.00920177706679 1.03994454213070 0.999527374640286 0.998815917907688 0.982410189080849 0.940859445890009 0.980787818262025 0.937809272806917
1064.08 1.01101324018780 1.08926878614804 1.00945154096660 1.04068493447759 0.999527887168185 0.998791173419074 0.982066819596464 0.939880334111746 0.980420094475961 0.936802775720948
1087.73 1.01111142958981 1.09223851022699 1.00969021975724 1.04143509487623 0.999528049702194 0.998767099036982 0.981740159267663 0.938894506835489 0.980070516793957 0.935789820984697
1111.38 1.01120627114393 1.09526504485316 1.00992245648862 1.04219472771023 0.999528246820441 0.998743524763987 0.981422835700056 0.937902636446220 0.979731292784118 0.934771050807581
1135.02 1.01129709292988 1.09834314930692 1.01015157870515 1.04295884959452 0.999528702770583 0.998720220566951 0.981109950411111 0.936909618248284 0.979397216890629 0.933751491284406
1158.67 1.01138365556321 1.10145880327584 1.01037920853486 1.04371932841948 0.999529476011828 0.998696951569318 0.980799412006336 0.935922971701017 0.979066028342648 0.932738889285377
1182.31 1.01146618484409 1.10459165144777 1.01060528803401 1.04472963529894 0.999530485542719 0.998669893291071 0.980491690842728 0.934696175751247 0.978738160599416 0.931479646004255
1205.96 1.01154530630830 1.10771946172918 1.01083911642238 1.04607904314367 0.999531929573658 0.998637502092382 0.980176211928639 0.933168910282467 0.978402352210015 0.929912401921874
1229.61 1.01162189329548 1.11082345453399 1.01108907764603 1.04787198424093 0.999533929320935 0.998597858454156 0.979844099216306 0.931280894387862 0.978049148314968 0.927976196662392
1253.25 1.01169689947058 1.11389296558300 1.01136269192328 1.05021109152086 0.999536542226886 0.998548762833316 0.979488117267657 0.928981696269427 0.977670843865518 0.925620470048814
1276.9 1.01177116552808 1.11692800153147 1.01166630086072 1.05316010142864 0.999539761402966 0.998488072090359 0.979102861032429 0.926244121410418 0.977261684539337 0.922818549855243
1300.55 1.01184527915726 1.11993888053004 1.01200434763324 1.05669443777845 0.999543503956584 0.998414301196146 0.978685171493598 0.923076444138007 0.976818301032369 0.919579792954559
1324.19 1.01191948740281 1.12294314052105 1.01237841529499 1.06067653021780 0.999547598746391 0.998327243586088 0.978234603202302 0.919525644253186 0.976340195708517 0.915952547210031
1347.84 1.01199368476790 1.12596064106071 1.01278644508115 1.06489727478599 0.999551787884786 0.998228132232501 0.977753656406816 0.915665885694293 0.975829981302380 0.912012322082807
1371.48 1.01206749215754 1.12900819688124 1.01322270242036 1.06916580744505 0.999555754593527 0.998119093157595 0.977247485565562 0.911575091653097 0.975293072143983 0.907838155386965
1395.13 1.01214037387072 1.13209500909556 1.01367884994899 1.07337727714675 0.999559177429635 0.998002225107973 0.976722972546701 0.907310626727797 0.974736711341051 0.903488196047355
1418.78 1.01221179365798 1.13521981014750 1.01414590936247 1.07752334166494 0.999561793857640 0.997878868405547 0.976187341467703 0.902894542577584 0.974168518738895 0.898984899079504
