names            s            l            betx         bety         dx           dy          
MO.29L4.B2          8.597e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.28L4.B2          8.650e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.26L4.B2          8.757e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.25L4.B2          8.810e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.24L4.B2          8.864e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.22L4.B2          8.971e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.22R4.B2         11.020e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.24R4.B2         11.127e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.25R4.B2         11.180e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.26R4.B2         11.234e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.28R4.B2         11.341e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.29R4.B2         11.394e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.30R4.B2         11.448e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.31R4.B2         11.501e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.32R4.B2         11.554e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.33R4.B2         11.608e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.34R4.B2         11.661e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.33L5.B2         11.715e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.32L5.B2         11.768e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.31L5.B2         11.822e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.30L5.B2         11.875e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.29L5.B2         11.929e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.28L5.B2         11.982e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.26L5.B2         12.089e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.25L5.B2         12.142e+03  320.000e-03  176.016       32.560        2.178        0.       
MO.24L5.B2         12.196e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.22L5.B2         12.303e+03  320.000e-03   32.560      176.030        1.080        0.       
MO.22R5.B2         14.353e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.24R5.B2         14.460e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.25R5.B2         14.513e+03  320.000e-03   32.562      176.016        1.080        0.       
MO.26R5.B2         14.567e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.28R5.B2         14.673e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.29R5.B2         14.727e+03  320.000e-03   32.562      176.016        1.080        0.       
MO.30R5.B2         14.780e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.31R5.B2         14.834e+03  320.000e-03   32.562      176.016        1.080        0.       
MO.32R5.B2         14.887e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.33R5.B2         14.941e+03  320.000e-03   32.562      176.016        1.080        0.       
MO.34R5.B2         14.994e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.33L6.B2         15.048e+03  320.000e-03   32.562      176.016        1.080        0.       
MO.32L6.B2         15.101e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.31L6.B2         15.154e+03  320.000e-03   32.562      176.016        1.080        0.       
MO.30L6.B2         15.208e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.29L6.B2         15.261e+03  320.000e-03   32.562      176.016        1.080        0.       
MO.28L6.B2         15.315e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.26L6.B2         15.422e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.25L6.B2         15.475e+03  320.000e-03   32.562      176.016        1.080        0.       
MO.24L6.B2         15.529e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.22L6.B2         15.635e+03  320.000e-03  176.002       32.563        2.178        0.       
MO.22R6.B2         17.685e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.24R6.B2         17.791e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.25R6.B2         17.845e+03  320.000e-03  176.136       32.399        2.125        0.       
MO.26R6.B2         17.898e+03  320.000e-03   31.727      176.810        1.048        0.       
MO.28R6.B2         18.005e+03  320.000e-03   31.727      176.810        1.048        0.       
