name	Material	angle[rad]	Length[m]	betax[m]	betay[m]	halfgap[m]	Nsigma
TCTVA.4R1.B2	W	1.5708	1	1441.42223	573.0272062	0.0062164748	9.0633372928
TCTH.4R1.B2	W	0	1	1435.741217	542.5102587	0.0097638851	8.9932396515
TCTVA.4R2.B2	W	1.5708	1	215.7788753	234.3416388	0.0052483409	11.9654461784
TCTH.4R2.B2	W	0	1	205.3158002	231.7260041	0.00494895	12.0540632843
TCLA.7L3.B2	W	0	1	65.86620496	94.37770964	0.0040701222	17.5028074846
TCLA.6L3.B2	W	0	1	132.1132343	166.7368079	0.0057293066	17.3964444448
TCLA.B5L3.B2	W	0	1	149.3159092	170.5015836	0.0061951184	17.6940869697
TCLA.A5L3.B2	W	1.5708	1	140.3140849	177.8781365	0.0067004708	17.5337828369
TCSG.B5L3.B2	CFC	0.189	1	44.59702867	315.3121905	0.003297789	15.6402827392
TCSG.A5L3.B2	CFC	2.98	1	35.17028982	346.8928555	0.0029529757	15.6729740161
TCSG.4L3.B2	CFC	0	1	26.08123311	396.7098525	0.002319546	15.8515055015
TCSG.5R3.B2	CFC	0	1	54.90455925	297.8398155	0.0033019415	15.5523765245
TCP.6R3.B2	CFC	0	0.6	131.5238813	144.6934531	0.0039371792	11.9815902319
TCL.5L5.B2	CU	0	1	154.027973	874.3154857	0.0249985005	70.2984498943
TCTVA.4R5.B2	W	1.5708	1	1441.42126	573.0273161	0.0061880693	9.021922575
TCTH.4R5.B2	W	0	1	1435.740258	542.5103632	0.0097565381	8.986475556
TCSG.4L6.B2	CFC	0	1	521.7471581	173.0488637	0.004653736	7.1105514583
TCDQA.A4L6.B2	C	0	3	499.5281301	165.4502127	0.0048965207	7.6460864974
TCDQA.B4L6.B2	C	0	3	510.7769902	169.2330726	0.0048965207	7.5614227445
TCLA.A7L7.B2	W	0	1	65.07886704	145.2899043	0.0019209913	8.3106882229
TCLA.D6L7.B2	W	0	1	65.92141723	156.395936	0.0019159264	8.2356359419
TCLA.C6L7.B2	W	1.5708	1	69.54312774	150.4093283	0.0029154522	8.2965994463
TCLA.B6L7.B2	W	0	1	161.3263942	75.61064729	0.0029866019	8.2064668021
TCLA.A6L7.B2	W	1.5708	1	299.7305521	48.02879577	0.0016275637	8.1963168998
TCSG.6L7.B2	CFC	0.00873	1	338.612135	47.37916487	0.00328795	6.2361961702
TCSG.E5L7.B2	CFC	2.28	1	237.875462	138.8176236	0.0024182439	6.276228892
TCSG.D5L7.B2	CFC	0.897	1	210.577186	161.4943754	0.0023935932	6.216113672
TCSG.B5L7.B2	CFC	2.47	1	119.4464461	271.4868223	0.0023954487	6.2607653894
TCSG.A4L7.B2	CFC	0.735	1	100.6779397	174.3890968	0.0020696825	6.24405693
TCSG.A4R7.B2	CFC	2.31	1	141.1928065	129.751914	0.0020843737	6.2622356462
TCSG.B4R7.B2	CFC	0	1	153.0634966	120.1551538	0.0022094821	6.2328441032
TCSG.D4R7.B2	CFC	1.5708	1	330.9508321	69.76927635	0.0014939654	6.2422336856
TCSG.A5R7.B2	CFC	0.71	1	182.6305558	148.4207405	0.0023432683	6.3077707104
TCSG.B5R7.B2	CFC	2.51	1	156.9186147	169.2003052	0.0022819026	6.2725770674
TCSG.A6R7.B2	CFC	2.47	1	40.49673886	224.6114687	0.0019108413	6.3077091816
TCP.B6R7.B2	CFC	2.23	0.6	142.4631298	87.48831735	0.0012579586	4.2224230739
TCP.C6R7.B2	CFC	0	0.6	150.5288526	82.76325108	0.0014700982	4.1818463676
TCP.D6R7.B2	CFC	1.5708	0.6	158.8712894	78.26337469	0.0010731105	4.2334725572
TCLIB.6L8.B2	CFC	1.5708	1	262.9365689	12.19293167	0.0249445207	249.317453786
TCLIA.4L8	C	1.5708	1	333.5870631	522.4465712	0.02500428	38.1790397286
TCTVB.4R8	W	1.5708	1	536.562823	335.1806214	0.006280992	11.9734795112
TDI.4R8	HBN	1.5708	4.1	465.1702823	327.1039494	0.0549676732	106.070849947
TCTH.4R8.B2	W	0	1	238.5609599	301.3990679	0.0053459498	12.0797174963
TCL.5L1.B2	CU	0	1	154.4461745	877.1476539	0.0249734503	70.1328614706
