Betax[m]	Name	Betay[m]	Material	Angle[rad]	Nsigma	Thickness[m]	Halfgap[m]	Length[m]
1441.42223	TCTVA.4R1.B2	573.0272062	W	1.5708	9.0633372928	0.025	0.0062164748	1
1435.741217	TCTH.4R1.B2	542.5102587	W	0	8.9932396515	0.025	0.0097638851	1
215.7788753	TCTVA.4R2.B2	234.3416388	W	1.5708	11.9654461784	0.025	0.0052483409	1
205.3158002	TCTH.4R2.B2	231.7260041	W	0	12.0540632843	0.025	0.00494895	1
65.86620496	TCLA.7L3.B2	94.37770964	W	0	17.5028074846	0.025	0.0040701222	1
132.1132343	TCLA.6L3.B2	166.7368079	W	0	17.3964444448	0.025	0.0057293066	1
149.3159092	TCLA.B5L3.B2	170.5015836	W	0	17.6940869697	0.025	0.0061951184	1
140.3140849	TCLA.A5L3.B2	177.8781365	W	1.5708	17.5337828369	0.025	0.0067004708	1
44.59702867	TCSG.B5L3.B2	315.3121905	CFC	0.189	15.6402827392	0.025	0.003297789	1
35.17028982	TCSG.A5L3.B2	346.8928555	CFC	2.98	15.6729740161	0.025	0.0029529757	1
26.08123311	TCSG.4L3.B2	396.7098525	CFC	0	15.8515055015	0.025	0.002319546	1
54.90455925	TCSG.5R3.B2	297.8398155	CFC	0	15.5523765245	0.025	0.0033019415	1
131.5238813	TCP.6R3.B2	144.6934531	CFC	0	11.9815902319	0.025	0.0039371792	0.6
154.027973	TCL.5L5.B2	874.3154857	CU	0	70.2984498943	0.025	0.0249985005	1
1441.42126	TCTVA.4R5.B2	573.0273161	W	1.5708	9.021922575	0.025	0.0061880693	1
1435.740258	TCTH.4R5.B2	542.5103632	W	0	8.986475556	0.025	0.0097565381	1
521.7471581	TCSG.4L6.B2	173.0488637	CFC	0	7.1105514583	0.025	0.004653736	1
499.5281301	TCDQA.A4L6.B2	165.4502127	C	0	7.6460864974	0.075	0.0048965207	3
510.7769902	TCDQA.B4L6.B2	169.2330726	C	0	7.5614227445	0.075	0.0048965207	3
65.07886704	TCLA.A7L7.B2	145.2899043	W	0	8.3106882229	0.025	0.0019209913	1
65.92141723	TCLA.D6L7.B2	156.395936	W	0	8.2356359419	0.025	0.0019159264	1
69.54312774	TCLA.C6L7.B2	150.4093283	W	1.5708	8.2965994463	0.025	0.0029154522	1
161.3263942	TCLA.B6L7.B2	75.61064729	W	0	8.2064668021	0.025	0.0029866019	1
299.7305521	TCLA.A6L7.B2	48.02879577	W	1.5708	8.1963168998	0.025	0.0016275637	1
338.612135	TCSG.6L7.B2	47.37916487	CFC	0.00873	6.2361961702	0.025	0.00328795	1
237.875462	TCSG.E5L7.B2	138.8176236	CFC	2.28	6.276228892	0.025	0.0024182439	1
210.577186	TCSG.D5L7.B2	161.4943754	CFC	0.897	6.216113672	0.025	0.0023935932	1
119.4464461	TCSG.B5L7.B2	271.4868223	CFC	2.47	6.2607653894	0.025	0.0023954487	1
100.6779397	TCSG.A4L7.B2	174.3890968	CFC	0.735	6.24405693	0.025	0.0020696825	1
141.1928065	TCSG.A4R7.B2	129.751914	CFC	2.31	6.2622356462	0.025	0.0020843737	1
153.0634966	TCSG.B4R7.B2	120.1551538	CFC	0	6.2328441032	0.025	0.0022094821	1
330.9508321	TCSG.D4R7.B2	69.76927635	CFC	1.5708	6.2422336856	0.025	0.0014939654	1
182.6305558	TCSG.A5R7.B2	148.4207405	CFC	0.71	6.3077707104	0.025	0.0023432683	1
156.9186147	TCSG.B5R7.B2	169.2003052	CFC	2.51	6.2725770674	0.025	0.0022819026	1
40.49673886	TCSG.A6R7.B2	224.6114687	CFC	2.47	6.3077091816	0.025	0.0019108413	1
142.4631298	TCP.B6R7.B2	87.48831735	CFC	2.23	4.2224230739	0.025	0.0012579586	0.6
150.5288526	TCP.C6R7.B2	82.76325108	CFC	0	4.1818463676	0.025	0.0014700982	0.6
158.8712894	TCP.D6R7.B2	78.26337469	CFC	1.5708	4.2334725572	0.025	0.0010731105	0.6
262.9365689	TCLIB.6L8.B2	12.19293167	CFC	1.5708	249.317453786	0.025	0.0249445207	1
333.5870631	TCLIA.4L8	522.4465712	C	1.5708	38.1790397286	0.033	0.02500428	1
536.562823	TCTVB.4R8	335.1806214	W	1.5708	11.9734795112	0.025	0.006280992	1
465.1702823	TDI.4L2.B1.1	327.1039494	Ti_in_TDI	1.5708	106.070849947	5e-06	0.0549676732	4
465.1702823	TDI.4L2.B1.1	327.1039494	HBN	1.5708	106.070849947	0.054	0.0549676732	4
465.1702823	TDI.4L2.B1.2	327.1039494	CU300K_in_TDI	1.5708	106.070849947	2e-06	0.0549676732	0.6
465.1702823	TDI.4L2.B1.2	327.1039494	Al	1.5708	106.070849947	0.054	0.0549676732	0.6
465.1702823	TDI.4L2.B1.3	327.1039494	Cu	1.5708	106.070849947	0.054	0.0549676732	0.7
238.5609599	TCTH.4R8.B2	301.3990679	W	0	12.0797174963	0.025	0.0053459498	1
154.4461745	TCL.5L1.B2	877.1476539	CU	0	70.1328614706	0.025	0.0249734503	1
