ID	name	angle[rad]	betax[m]	betay[m]	halfgap[m]	Material	Length[m]	sigx[m]	sigy[m]	tilt1[rad]	tilt2[rad]	nsig
1	TCL.4L1.B2	0	79.00060981	161.6032042	0.758533232	CU	1	0.00075929	0.001086	0	0	999
2	TCL.5L1.B2	0	144.0540692	131.9399319	1.024288167	CU	1	0.0010253	0.00098126	0	0	999
3	TCL.6L1.B2	0	102.0719079	157.0769063	0.8622089104	W	1	0.00086307	0.0010707	0	0	999
4	TCTPH.4R8.B2	0	46.82260855	48.31636739	0.0075991507	W	1	0.00058455	0.0005938	0	0	13
6	TCTPV.4R8.B2	1.57079632	48.40652713	46.18663087	0.0075473657	W	1	0.00059435	0.00058057	0	0	13
5	TDI.4R8.B2	1.57079632	108.6240333	44.47353869	0.5691283688	C	4	0.00089034	0.0005697	0	0	999
7	TCLIA.4L8	1.57079632	52.19809315	128.388282	0.9669902255	C	1	0.00061719	0.00096796	0	0	999
8	TCLIB.6L8.B2	1.57079632	221.7736907	14.92553573	0.3297041053	C	1	0.0012722	0.00033003	0	0	999
9	TCP.D6R7.B2	1.57079632	158.7855279	78.30363057	0.0043088334	C	0.6	0.0010765	0.00075594	0	0	5.7
10	TCP.C6R7.B2	0	150.4438354	82.80686778	0.0059724972	C	0.6	0.0010478	0.00077737	0	0	5.7
11	TCP.B6R7.B2	2.22529479	142.3789697	87.53536548	0.0050570673	C	0.6	0.0010193	0.00079926	0	0	5.7
15	TCSG.A6R7.B2	2.46615023	39.8281675	227.054932	0.0060848121	C	1	0.00053912	0.0012872	0	0	6.7
17	TCSG.B5R7.B2	2.5062928	160.1728625	166.5946498	0.0072947017	C	1	0.0010812	0.0011026	0	0	6.7
19	TCSG.A5R7.B2	0.70860367	186.1815125	145.9981997	0.0074442707	C	1	0.0011656	0.0010322	0	0	6.7
21	TCSG.D4R7.B2	1.57079632	333.3151321	68.87908167	0.0047502053	C	1	0.0015596	0.00070899	0	0	6.7
25	TCSG.B4R7.B2	0	151.699256	121.2490197	0.0070495343	C	1	0.0010522	0.00094066	0	0	6.7
27	TCSG.A4R7.B2	2.30557994	139.9006446	130.9176212	0.0066491109	C	1	0.0010104	0.00097745	0	0	6.7
