sigx[m]	Betax[m]	Name	tilt2[rad]	Betay[m]	Material	Angle[rad]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.0019308	510.8513322	TCDQA.B4L6.B	0	169.1561839	graphite	0	0.04	0.0154465379	0	0.0011111	3	51	8
0.0019545	523.4517344	TCSP.A4L6.B2	0	173.5399449	C	0	0.025	0.0146586335	0	0.0011254	1	53	7.5
0.0010729	157.7231654	TCTPH.4R5.B2	0	78.79648739	W	0	0.025	0.0139471348	0	0.00075831	1	54	13
0.0010645	155.280204	TCTPV.4R5.B2	0	78.95992762	W	1.57079632	0.025	0.009868261	0	0.0007591	1	55	13
0.00075933	79.00785295	TCL.4L5.B2	0	161.5176956	CU	0	0.025	0.7585680041	0	0.0010857	1	56	999
0.0010263	144.3440888	TCL.5L5.B2	0	131.5562303	CU	0	0.025	1.025318733	0	0.00097983	1	57	999
0.00083241	94.9485531	TCL.6L5.B2	0	163.9574577	W	0	0.025	0.8315791006	0	0.0010939	1	58	999
0.00097863	131.2352775	TCP.6R3.B2	0	144.6070528	CFC	0	0.025	0.0078290522	0	0.0010273	0.6	59	8
0.00063083	54.5304372	TCSG.5R3.B2	0	298.4487822	CFC	0	0.025	0.0058667332	0	0.0014758	1	60	9.3
0.00043708	26.17789209	TCSG.4L3.B2	0	395.37181	CFC	0	0.025	0.0040648469	0	0.0016986	1	62	9.3
0.00051107	35.7914711	TCSG.A5L3.B2	0	344.272412	CFC	2.98102236	0.025	0.0052505228	0	0.0015851	1	64	9.3
0.00057585	45.43915335	TCSG.B5L3.B2	0	312.8280324	CFC	0.18849555	0.025	0.0058826993	0	0.0015109	1	66	9.3
0.0010191	142.3259513	TCLA.A5L3.B2	0	176.1114199	W	1.57079632	0.025	0.0136040716	0	0.0011337	1	68	12
0.0010511	151.4052722	TCLA.B5L3.B2	0	168.7821605	W	0	0.025	0.0126137915	0	0.0011098	1	69	12
0.00097191	129.4387668	TCLA.6L3.B2	0	168.7207805	W	0	0.025	0.0116629209	0	0.0011096	1	70	12
0.00069825	66.80930098	TCLA.7L3.B2	0	93.2026516	W	0	0.025	0.0083790274	0	0.00082472	1	71	12
0.00058373	46.69123449	TCTPH.4R2.B2	0	48.64770504	W	0	0.025	0.0075884824	0	0.00059583	1	72	13
0.00059349	48.26655339	TCTPV.4R2.B2	0	46.48492794	W	1.57079632	0.025	0.0075716989	0	0.00058244	1	73	13
0.0010726	157.6519768	TCTPH.4R1.B2	0	78.77533573	W	0	0.025	0.0139439869	0	0.00075821	1	74	13
0.0010643	155.204753	TCTPV.4R1.B2	0	78.94145655	W	1.57079632	0.025	0.0098671066	0	0.00075901	1	75	13
