sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00041187	335.7667417	TCSG.6R7.B1	0	0.00873	CFC	47.35650527	0.025	0.0032948685	0	0.00015468	1	44	8
0.00038742	297.0758997	TCLA.A6R7.B1	0	1.571	W	48.1551343	0.025	0.0021836994	0	0.00015598	1	50	14
0.00028388	159.5044293	TCLA.B6R7.B1	0	0	W	76.387686	0.025	0.0039742748	0	0.00019645	1	51	14
0.00018619	68.61725071	TCLA.C6R7.B1	0	1.571	W	151.8870082	0.025	0.0038782145	0	0.00027702	1	52	14
0.00018129	65.04937303	TCLA.D6R7.B1	0	0	W	157.9157264	0.025	0.0025380085	0	0.00028246	1	53	14
0.00018071	64.63389357	TCLA.A7R7.B1	0	0	W	146.4538223	0.025	0.0025298902	0	0.00027202	1	54	14
0.00034809	239.8241055	TCTH.4L8.B1	0	0	W	298.8851657	0.025	0.0052213302	0	0.00038859	1	60	15
0.00035566	250.3653154	TCTVA.4L8.B1	0	1.571	W	300.1496742	0.025	0.0058412215	0	0.00038941	1	62	15
0.00073364	1065.32772	TCTH.4L1.B1	0	0	W	410.4420308	0.025	0.0100509164	0	0.00045538	1	55	13.7
0.00073515	1069.713597	TCTVA.4L1.B1	0	1.571	W	433.4065767	0.025	0.0064107938	0	0.00046794	1	56	13.7
