sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00011507	26.20995093	TCSG.4L3.B2	0	0	CFC	395.1976167	0.025	0.002071329	0	0.00044684	1	62	18
0.00013462	35.86773539	TCSG.A5L3.B2	0	2.98102236	CFC	344.1129105	0.025	0.0026760277	0	0.00041696	1	64	18
0.00015168	45.53772016	TCSG.B5L3.B2	0	0.18849555	CFC	312.6792033	0.025	0.002998275	0	0.00039746	1	66	18
0.00026835	142.5279561	TCLA.A5L3.B2	0	1.57079632	W	176.0149177	0.025	0.0059641453	0	0.00029821	1	68	20
0.00027677	151.6132797	TCLA.B5L3.B2	0	0	W	168.6888825	0.025	0.0055353119	0	0.00029194	1	69	20
0.00025572	129.4342287	TCLA.6L3.B2	0	0	W	168.709017	0.025	0.0051144395	0	0.00029195	1	70	20
0.00018368	66.78066574	TCLA.7L3.B2	0	0	W	93.23888784	0.025	0.0036736591	0	0.00021704	1	71	20
0.00015365	46.72778876	TCTPH.4R2.B2	0	0	W	48.65942106	0.025	0.0056850308	0	0.00015679	1	72	37
0.0001562	48.29474098	TCTPV.4R2.B2	0	1.57079632	W	46.49578464	0.025	0.0056709001	0	0.00015327	1	73	37
0.00073874	1080.184576	TCTPH.4R1.B2	0	0	W	414.9821127	0.025	0.0101207579	0	0.00045789	1	74	13.7
0.00074017	1084.361368	TCTPV.4R1.B2	0	1.57079632	W	438.0068455	0.025	0.0064447266	0	0.00047042	1	75	13.7
