names            s            l            betx         bety         dx           dy          
MO.32R4.B1         11.554e+03  320.000e-03  175.443       33.586        2.182     -114.403e-03
MO.33R4.B1         11.608e+03  320.000e-03   30.066      178.776        1.070     -340.324e-03
MO.34R4.B1         11.661e+03  320.000e-03  175.443       33.586        2.115      -99.645e-03
MO.33L5.B1         11.715e+03  320.000e-03   30.066      178.776      956.155e-03   25.489e-03
MO.32L5.B1         11.768e+03  320.000e-03  175.443       33.586        1.798      105.712e-03
MO.31L5.B1         11.821e+03  320.000e-03   30.066      178.776      889.723e-03  342.547e-03
MO.30L5.B1         11.875e+03  320.000e-03  175.443       33.586        1.919      108.865e-03
MO.29L5.B1         11.928e+03  320.000e-03   30.066      178.776        1.015        4.389e-03
MO.28L5.B1         11.982e+03  320.000e-03  175.443       33.586        2.215      -96.216e-03
MO.26L5.B1         12.089e+03  320.000e-03  175.443       33.586        2.045     -117.257e-03
MO.25L5.B1         12.142e+03  320.000e-03   30.066      178.776      927.381e-03  -34.234e-03
MO.24L5.B1         12.196e+03  320.000e-03  175.443       33.586        1.777       85.989e-03
MO.22L5.B1         12.302e+03  320.000e-03  175.443       33.586        1.993      124.757e-03
MO.22R5.B1         14.352e+03  320.000e-03   30.064      178.789        1.028      290.484e-03
MO.24R5.B1         14.459e+03  320.000e-03   30.064      178.789      880.028e-03  200.154e-03
MO.25R5.B1         14.513e+03  320.000e-03  175.459       33.583        1.771      -15.008e-03
MO.26R5.B1         14.566e+03  320.000e-03   30.064      178.789      944.058e-03 -273.070e-03
MO.28R5.B1         14.673e+03  320.000e-03   30.064      178.789        1.081     -223.911e-03
MO.29R5.B1         14.727e+03  320.000e-03  175.459       33.583        2.206        1.988e-03
MO.30R5.B1         14.780e+03  320.000e-03   30.064      178.789      994.063e-03  253.590e-03
MO.31R5.B1         14.834e+03  320.000e-03  175.459       33.583        1.829      149.822e-03
MO.32R5.B1         14.887e+03  320.000e-03   30.064      178.789      871.561e-03  245.973e-03
MO.33R5.B1         14.940e+03  320.000e-03  175.459       33.583        1.823       11.046e-03
MO.34R5.B1         14.994e+03  320.000e-03   30.064      178.789      979.579e-03 -232.191e-03
MO.33L6.B1         15.047e+03  320.000e-03  175.459       33.583        2.201     -148.861e-03
MO.32L6.B1         15.101e+03  320.000e-03   30.064      178.789        1.084     -266.173e-03
MO.31L6.B1         15.154e+03  320.000e-03  175.459       33.583        2.143      -23.997e-03
MO.30L6.B1         15.208e+03  320.000e-03   30.064      178.789      958.127e-03  209.034e-03
MO.29L6.B1         15.261e+03  320.000e-03  175.459       33.583        1.775      146.773e-03
MO.28L6.B1         15.315e+03  320.000e-03   30.064      178.789      875.193e-03  284.359e-03
MO.26L6.B1         15.421e+03  320.000e-03   30.064      178.789        1.015     -184.295e-03
MO.25L6.B1         15.475e+03  320.000e-03  175.459       33.583        2.243     -143.574e-03
MO.24L6.B1         15.528e+03  320.000e-03   30.064      178.789        1.074     -300.392e-03
MO.22L6.B1         15.635e+03  320.000e-03   30.064      178.789      924.433e-03  158.162e-03
MO.22R6.B1         17.684e+03  320.000e-03  175.459       33.583        1.933       16.600e-03
MO.24R6.B1         17.791e+03  320.000e-03  175.459       33.583        2.253      149.549e-03
MO.25R6.B1         17.845e+03  320.000e-03   30.064      178.789        1.066      221.082e-03
MO.26R6.B1         17.898e+03  320.000e-03  175.459       33.583        2.024       -3.589e-03
MO.28R6.B1         18.005e+03  320.000e-03  175.459       33.583        1.742     -149.862e-03
MO.29R6.B1         18.059e+03  320.000e-03   30.064      178.789      901.146e-03 -243.362e-03
MO.30R6.B1         18.112e+03  320.000e-03  175.459       33.583        2.019       -9.448e-03
MO.31R6.B1         18.166e+03  320.000e-03   30.064      178.789        1.058      234.916e-03
MO.32R6.B1         18.219e+03  320.000e-03  175.459       33.583        2.254      149.040e-03
MO.33R6.B1         18.272e+03  320.000e-03   30.064      178.789        1.041      263.799e-03
MO.34R6.B1         18.326e+03  320.000e-03  175.459       33.583        1.937       22.415e-03
MO.33L7.B1         18.379e+03  320.000e-03   30.064      178.789      886.985e-03 -211.966e-03
MO.32L7.B1         18.433e+03  320.000e-03  175.459       33.583        1.756     -147.090e-03
MO.31L7.B1         18.486e+03  320.000e-03   30.064      178.789      930.100e-03 -282.240e-03
MO.30L7.B1         18.540e+03  320.000e-03  175.459       33.583        2.104      -35.211e-03
MO.29L7.B1         18.593e+03  320.000e-03   30.064      178.789        1.077      187.411e-03
MO.28L7.B1         18.647e+03  320.000e-03  175.459       33.583        2.226      144.026e-03
MO.26L7.B1         18.753e+03  320.000e-03  175.459       33.583        1.858       47.741e-03
MO.25L7.B1         18.807e+03  320.000e-03   30.064      178.789      873.659e-03 -161.439e-03
MO.24L7.B1         18.860e+03  320.000e-03  175.459       33.583        1.798     -139.873e-03
MO.22L7.B1         18.967e+03  320.000e-03  175.459       33.583        2.176      -59.910e-03
MO.22R7.B1         21.017e+03  320.000e-03   30.064      178.789      922.528e-03   75.324e-03
