names            s            betx         bety        
ACFA.L5B1          13.171e+03    1.027e+03  764.712    
ACFB.L5B1          13.173e+03    1.049e+03  832.433    
ACFC.L5B1          13.176e+03    1.072e+03  903.044    
ACFC.R5B1          13.484e+03  865.660        1.062e+03
ACFB.R5B1          13.487e+03  796.632        1.040e+03
ACFA.R5B1          13.489e+03  730.488        1.018e+03
