name 	 betax 	 betay 	 length
BS_50A	8.78005e+01	8.93512e+01	2.19920348e+04
BS_50L	1.46595e+02	1.42064e+02	1.67234600e+02
BS_53V	2.34683e+02	2.34804e+02	1.57630000e+01
BS_53H	7.96716e+01	7.96108e+01	1.57630000e+01
BS_63V	3.31887e+02	3.37517e+02	2.36731500e+02
BS_63H	1.55415e+02	1.55214e+02	4.74880000e+01
BS_69	5.29343e+02	5.40402e+02	1.30644500e+02
BS_74	3.17897e+02	3.17955e+02	5.38240000e+01
MBW	1.38662e+02	1.35232e+02	7.06000001e+01
MQW_V	1.92171e+02	2.10060e+02	7.45920000e+01
MQW_H	1.92171e+02	2.10060e+02	7.45920000e+01
Warm_Pipe	2.97574e+02	3.07250e+02	3.47731580e+03
BS_101	1.25666e+03	1.25904e+03	3.80000000e+01
taperBS101_BS121	1.77788e+03	1.78127e+03	1.48000000e-01
BS_121	3.16355e+03	3.16957e+03	2.08652000e+02
BPMCW	7.69801e+02	7.71233e+02	1.20000000e+00
BPMs	3.03246e+03	3.03355e+03	6.00000000e+00
RF	1.74074e+02	2.31443e+02	8.76000000e+00
CMS	3.70674e+02	3.71407e+02	1.86000000e+01
ATLAS	4.56826e+02	4.57648e+02	8.00000000e+00
ALICE	3.95647e+01	3.95518e+01	8.60000000e+00
LHCb	1.01454e+02	1.01495e+02	8.60000000e+00
BBC_H	1.10431e+03	1.11715e+03	2.00000000e+00
BBC_V	1.10387e+03	1.11652e+03	2.00000000e+00
Crab	9.23377e+02	9.36524e+02	2.60000000e+01
