names            s            l            betx         bety         dx           dy          
MO.25R5.B2         14.513e+03  320.000e-03   32.512      175.590        1.080        0.       
MO.26R5.B2         14.567e+03  320.000e-03  176.193       32.631        2.177        0.       
MO.28R5.B2         14.673e+03  320.000e-03  175.819       32.487        2.177        0.       
MO.29R5.B2         14.727e+03  320.000e-03   32.512      175.590        1.080        0.       
MO.30R5.B2         14.780e+03  320.000e-03  176.193       32.631        2.178        0.       
MO.31R5.B2         14.834e+03  320.000e-03   32.604      176.452        1.081        0.       
MO.32R5.B2         14.887e+03  320.000e-03  175.819       32.487        2.179        0.       
MO.33R5.B2         14.941e+03  320.000e-03   32.512      175.590        1.080        0.       
MO.34R5.B2         14.994e+03  320.000e-03  176.193       32.631        2.177        0.       
MO.33L6.B2         15.048e+03  320.000e-03   32.604      176.452        1.080        0.       
MO.32L6.B2         15.101e+03  320.000e-03  175.819       32.487        2.177        0.       
MO.31L6.B2         15.154e+03  320.000e-03   32.512      175.590        1.080        0.       
MO.30L6.B2         15.208e+03  320.000e-03  176.193       32.631        2.178        0.       
MO.29L6.B2         15.261e+03  320.000e-03   32.604      176.452        1.081        0.       
MO.28L6.B2         15.315e+03  320.000e-03  175.819       32.487        2.179        0.       
MO.26L6.B2         15.422e+03  320.000e-03  176.193       32.631        2.177        0.       
MO.25L6.B2         15.475e+03  320.000e-03   32.604      176.452        1.080        0.       
MO.24L6.B2         15.529e+03  320.000e-03  175.819       32.487        2.177        0.       
MO.22L6.B2         15.635e+03  320.000e-03  176.193       32.631        2.178        0.       
MO.22R6.B2         17.685e+03  320.000e-03   31.689      176.289        1.048        0.       
MO.24R6.B2         17.791e+03  320.000e-03   31.759      177.342        1.047        0.       
MO.25R6.B2         17.845e+03  320.000e-03  176.358       32.472        2.124        0.       
MO.26R6.B2         17.898e+03  320.000e-03   31.685      176.288        1.047        0.       
MO.28R6.B2         18.005e+03  320.000e-03   31.764      177.343        1.048        0.       
MO.29R6.B2         18.059e+03  320.000e-03  176.334       32.472        2.126        0.       
MO.30R6.B2         18.112e+03  320.000e-03   31.681      176.286        1.048        0.       
MO.31R6.B2         18.166e+03  320.000e-03  175.959       32.319        2.125        0.       
MO.32R6.B2         18.219e+03  320.000e-03   31.768      177.345        1.047        0.       
MO.33R6.B2         18.273e+03  320.000e-03  176.308       32.471        2.124        0.       
MO.34R6.B2         18.326e+03  320.000e-03   31.677      176.285        1.047        0.       
MO.33L7.B2         18.379e+03  320.000e-03  175.986       32.319        2.125        0.       
MO.32L7.B2         18.433e+03  320.000e-03   31.771      177.346        1.048        0.       
MO.31L7.B2         18.486e+03  320.000e-03  176.280       32.471        2.126        0.       
MO.30L7.B2         18.540e+03  320.000e-03   31.674      176.283        1.048        0.       
MO.29L7.B2         18.593e+03  320.000e-03  176.015       32.320        2.125        0.       
MO.28L7.B2         18.647e+03  320.000e-03   31.774      177.348        1.047        0.       
MO.26L7.B2         18.754e+03  320.000e-03   31.671      176.282        1.047        0.       
MO.25L7.B2         18.807e+03  320.000e-03  176.045       32.320        2.125        0.       
MO.24L7.B2         18.860e+03  320.000e-03   31.776      177.349        1.048        0.       
MO.22L7.B2         18.967e+03  320.000e-03   31.669      176.281        1.048        0.       
MO.22R7.B2         21.017e+03  320.000e-03  176.385       32.427        2.125        0.       
MO.24R7.B2         21.124e+03  320.000e-03  175.887       32.363        2.126        0.       
MO.25R7.B2         21.178e+03  320.000e-03   31.693      176.201        1.048        0.       
MO.26R7.B2         21.231e+03  320.000e-03  176.400       32.428        2.125        0.       
MO.28R7.B2         21.338e+03  320.000e-03  175.873       32.363        2.124        0.       
MO.29R7.B2         21.391e+03  320.000e-03   31.697      176.202        1.047        0.       
MO.30R7.B2         21.445e+03  320.000e-03  176.413       32.428        2.125        0.       
MO.31R7.B2         21.498e+03  320.000e-03   31.747      177.428        1.048        0.       
MO.32R7.B2         21.552e+03  320.000e-03  175.862       32.362        2.126        0.       
MO.33R7.B2         21.605e+03  320.000e-03   31.702      176.203        1.048        0.       
MO.34R7.B2         21.659e+03  320.000e-03  176.423       32.429        2.124        0.       
MO.33L8.B2         21.712e+03  320.000e-03   31.742      177.427        1.047        0.       
MO.32L8.B2         21.766e+03  320.000e-03  175.853       32.362        2.124        0.       
MO.31L8.B2         21.819e+03  320.000e-03   31.707      176.204        1.047        0.       
MO.30L8.B2         21.872e+03  320.000e-03  176.429       32.429        2.125        0.       
MO.29L8.B2         21.926e+03  320.000e-03   31.737      177.426        1.048        0.       
MO.28L8.B2         21.979e+03  320.000e-03  175.848       32.361        2.126        0.       
MO.26L8.B2         22.086e+03  320.000e-03  176.433       32.430        2.124        0.       
MO.25L8.B2         22.140e+03  320.000e-03   31.731      177.425        1.047        0.       
MO.24L8.B2         22.193e+03  320.000e-03  175.846       32.361        2.124        0.       
MO.22L8.B2         22.300e+03  320.000e-03  176.434       32.430        2.125        0.       
MO.22R8.B2         24.349e+03  320.000e-03   32.517      176.322        1.081        0.       
MO.24R8.B2         24.456e+03  320.000e-03   32.594      175.748        1.080        0.       
MO.25R8.B2         24.510e+03  320.000e-03  175.975       32.452        2.177        0.       
MO.26R8.B2         24.563e+03  320.000e-03   32.517      176.322        1.080        0.       
MO.28R8.B2         24.670e+03  320.000e-03   32.594      175.747        1.080        0.       
MO.29R8.B2         24.723e+03  320.000e-03  175.975       32.452        2.179        0.       
MO.30R8.B2         24.777e+03  320.000e-03   32.517      176.322        1.081        0.       
MO.31R8.B2         24.830e+03  320.000e-03  176.064       32.660        2.178        0.       
MO.32R8.B2         24.884e+03  320.000e-03   32.594      175.747        1.080        0.       
MO.33R8.B2         24.937e+03  320.000e-03  175.975       32.452        2.177        0.       
MO.34R8.B2         24.991e+03  320.000e-03   32.517      176.323        1.080        0.       
MO.33L1.B2         25.044e+03  320.000e-03  176.064       32.660        2.177        0.       
MO.32L1.B2         25.098e+03  320.000e-03   32.594      175.747        1.080        0.       
MO.31L1.B2         25.151e+03  320.000e-03  175.975       32.452        2.179        0.       
MO.30L1.B2         25.204e+03  320.000e-03   32.517      176.323        1.081        0.       
MO.29L1.B2         25.258e+03  320.000e-03  176.064       32.660        2.178        0.       
MO.28L1.B2         25.311e+03  320.000e-03   32.594      175.747        1.080        0.       
MO.26L1.B2         25.418e+03  320.000e-03   32.517      176.323        1.080        0.       
MO.25L1.B2         25.472e+03  320.000e-03  176.064       32.660        2.177        0.       
MO.24L1.B2         25.525e+03  320.000e-03   32.594      175.746        1.080        0.       
MO.22L1.B2         25.632e+03  320.000e-03   32.517      176.323        1.081        0.       
