NAME 	 BETAX 	 BETAY
TCL.5R1.B1 	 168.7140575 	 882.8088863
TCTH.4L2.B1 	 78.06934373 	 90.09408368
TCTVA.4L2.B1 	 80.18166341 	 89.13166485
TDI.4L2.B1 	 143.2565518 	 88.48666635
TCLIA.4R2 	 90.62576111 	 153.8887907
TCLIB.6R2.B1 	 178.8893812 	 74.20393964
TCP.6L3.B1 	 131.5239109 	 144.6957118
TCSG.5L3.B1 	 54.31541947 	 299.4064502
TCSG.4R3.B1 	 26.35779296 	 393.6852369
TCSG.A5R3.B1 	 36.58800561 	 341.343295
TCSG.B5R3.B1 	 46.50246507 	 310.056662
TCLA.A5R3.B1 	 144.7742793 	 174.162766
TCLA.B5R3.B1 	 153.9437687 	 166.8872898
TCLA.6R3.B1 	 126.795618 	 170.6994528
TCLA.7R3.B1 	 68.32116031 	 88.24014414
TCTH.4L5.B1 	 1569.411175 	 611.1493475
TCTVA.4L5.B1 	 1575.643119 	 645.0048444
TCL.5R5.B1 	 169.134442 	 886.0062235
TCDQA.A4R6.B1 	 495.2533023 	 165.4590083
TCDQA.B4R6.B1 	 506.3875547 	 169.7344619
TCSG.4R6.B1 	 520.461597 	 175.3311066
TCP.D6L7.B1 	 158.8713556 	 78.26334454
TCP.C6L7.B1 	 150.5289201 	 82.76321802
TCP.B6L7.B1 	 142.4631986 	 87.48828129
TCSG.A6L7.B1 	 39.26527925 	 229.2536189
TCSG.B5L7.B1 	 163.1459031 	 163.8588234
TCSG.A5L7.B1 	 189.3925239 	 143.4699872
TCSG.D4L7.B1 	 334.9757043 	 67.96631993
TCSG.B4L7.B1 	 138.3338292 	 132.2488251
TCSG.A4L7.B1 	 127.3341423 	 142.6268588
TCSG.A4R7.B1 	 117.0312444 	 153.6299068
TCSG.B5R7.B1 	 124.2956074 	 263.7083986
TCSG.D5R7.B1 	 217.2326988 	 155.6444438
TCSG.E5R7.B1 	 244.9825668 	 133.4498174
TCSG.6R7.B1 	 332.9468524 	 47.34296079
TCLA.A6R7.B1 	 294.4450588 	 48.29110476
TCLA.B6R7.B1 	 157.7003831 	 77.17727163
TCLA.C6R7.B1 	 67.7054043 	 153.3814492
TCLA.D6R7.B1 	 64.19120096 	 159.4525501
TCLA.A7R7.B1 	 65.43663316 	 144.4732444
TCTH.4L8.B1 	 97.70340255 	 129.880589
TCTVB.4L8 	 168.4565093 	 111.5339625
TCTH.4L1.B1 	 1569.410711 	 611.1492848
TCTVA.4L1.B1 	 1575.642654 	 645.0047801
