name 	 betax 	 betay 	 length
BS_50A	8.86259e+01	9.18978e+01	2.19920348e+04
BS_50L	2.51547e+02	2.38804e+02	1.67234600e+02
BS_53V	1.24533e+03	1.08299e+03	3.15260000e+01
BS_53H	1.12130e+03	1.09667e+03	3.15260000e+01
BS_63V	5.27983e+02	4.79747e+02	2.84219500e+02
BS_63H	1.08100e+03	1.06316e+03	9.49760000e+01
BS_69	1.87796e+02	1.90383e+02	1.30644500e+02
BS_74	3.75312e+02	3.54011e+02	6.46100000e+01
MBW	1.37180e+02	1.34738e+02	7.06000000e+01
MQW_V	1.95766e+02	2.07786e+02	7.45920000e+01
MQW_H	1.95766e+02	2.07786e+02	7.45920000e+01
Warm_Pipe	2.76969e+02	2.69287e+02	3.59225980e+03
taperBS53_BS63	2.30890e+03	2.11852e+03	1.20000000e-01
taperBS63_BS74	1.65817e+03	1.52258e+03	3.08000000e-01
taperBS74_warm	1.57139e+03	1.44311e+03	1.40000000e-01
BPM61CW	2.27827e+03	2.08989e+03	1.20000000e+00
BPM61strip	2.32841e+03	2.16308e+03	1.00000000e+00
BPM80strip	1.20659e+03	1.11054e+03	1.00000000e+00
RF	2.13042e+02	2.43133e+02	8.76000000e+00
CMS	2.40472e+03	2.08053e+03	1.86000000e+01
ALICE	4.21567e+01	4.26589e+01	8.60000000e+00
LHCb	4.12656e+01	3.94554e+01	8.60000000e+00
