name	halfgap [m]
TCL.5R1.B1 	0.0249983728595
TCTH.4L2.B1 	0.00917958870393
TDI.4L2.B1 	0.00494131523244
TCTVB.4L2 	0.00829744914545
TCLIA.4R2 	0.00671604411808
TCLIB.6R2.B1 	0.00354491582918
TCP.6L3.B1 	0.00783068854776
TCSG.5L3.B1 	0.00586838510339
TCSG.4R3.B1 	0.00407537433908
TCSG.A5R3.B1 	0.005243970094
TCSG.B5R3.B1 	0.00594112910102
TCLA.A5R3.B1 	0.0113381413195
TCLA.B5R3.B1 	0.0105101461299
TCLA.6R3.B1 	0.00971328891221
TCLA.7R3.B1 	0.00696856638398
TCTH.4L5.B1 	0.0146086955122
TCTVA.4L5.B1 	0.0100119782972
TCL.5R5.B1 	0.0250086851781
TCDQA.A4R6.B 	0.0168606017178
TCDQA.B4R6.B 	0.0168606017178
TCSG.4R6.B1 	0.0149933301386
TCP.D6L7.B1 	0.00432363464457
TCP.C6L7.B1 	0.00595640583819
TCP.B6L7.B1 	0.00503695292337
TCSG.A6L7.B1 	0.00629344713538
TCSG.B5L7.B1 	0.0071057024475
TCSG.A5L7.B1 	0.0074838614028
TCSG.D4L7.B1 	0.00543733400854
TCSG.B4L7.B1 	0.00724165407309
TCSG.A4L7.B1 	0.00655419389438
TCSG.A4R7.B1 	0.00647852239103
TCSG.B5R7.B1 	0.00829565551536
TCSG.D5R7.B1 	0.00764337680843
TCSG.E5R7.B1 	0.00764393649596
TCSG.6R7.B1 	0.0108742867485
TCLA.A6R7.B1 	0.00576891805982
TCLA.B6R7.B1 	0.0114187401407
TCLA.C6R7.B1 	0.0114004222186
TCLA.D6R7.B1 	0.00707545378676
TCLA.A7R7.B1 	0.00706909149322
TCTH.4L8.B1 	0.00781608804975
TCTVB.4L8 	0.00791514308015
TCTH.4L1.B1 	0.0138219609947
TCTVA.4L1.B1 	0.0101040575167
