name	Material	Angle[rad]	halfgap[m]	Length[m]	betax[m]	betay[m]
TCL.5R1.B1	CU	0	0.00356577339662	1	168.7140575	882.8088863
TCTH.4L2.B1	W	0	0.00493629600173	1	78.06934373	90.09408368
TDI.4L2		HBN	1.5708	0.0549346438511		4.1	143.2565518	88.48666635
TCTVA.4L2.B1	W	1.5708	0.00524518780672	1	80.18166341	89.13166485
TCLIA.4R2	C	1.5708	0.0279664271829		1	90.62576111	153.8887907
TCLIB.6R2.B1	CFC	1.5708	0.0249205916696		1	178.8893812	74.20393964
TCP.6L3.B1	CFC	0	0.00394815279986	0.6	131.5239109	144.6957118
TCSG.5L3.B1	CFC	0	0.00469098266571	1	54.31541947	299.4064502
TCSG.4R3.B1	CFC	0	0.00231028031479	1	26.35779296	393.6852369
TCSG.A5R3.B1	CFC	2.98	0.00295787166458	1	36.58800561	341.343295
TCSG.B5R3.B1	CFC	0.199	0.00334945457329	1	46.50246507	310.056662
TCLA.A5R3.B1	W	1.5708	0.00667626943952	1	144.7742793	174.162766
TCLA.B5R3.B1	W	0	0.00619769832008	1	153.9437687	166.8872898
TCLA.6R3.B1	W	0	0.00574387186828	1	126.795618	170.6994528
TCLA.7R3.B1	W	0	0.00418073127971	1	68.32116031	88.24014414
TCTH.4L5.B1	W	0	0.00976705392348	1	1569.411175	611.1493475
TCTVA.4L5.B1	W	1.5708	0.00621835469663	1	1575.643119	645.0048444
TCL.5R5.B1	CU	0	0.00355618526465	1	169.134442	886.0062235
TCDQA.A4R6.B1	C	0	0.00423315161139	3	495.2533023	165.4590083
TCDQA.B4R6.B1	C	0	0.00423315161139	3	506.3875547	169.7344619
TCSG.4R6.B1	CFC	0	0.00463811933331	1	520.461597	175.3311066
TCP.D6L7.B1	CFC	1.5708	0.00107488767635	0.6	158.8713556	78.26334454
TCP.C6L7.B1	CFC	0	0.00147724194261	0.6	150.5289201	82.76321802
TCP.B6L7.B1	CFC	2.22	0.00125274512724	0.6	142.4631986	87.48828129
TCSG.A6L7.B1	CFC	2.46	0.00192601380713	1	39.26527925	229.2536189
TCSG.B5L7.B1	CFC	2.5	0.00228796910287	1	163.1459031	163.8588234
TCSG.A5L7.B1	CFC	0.71	0.00233106608666	1	189.3925239	143.4699872
TCSG.D4L7.B1	CFC	1.5708	0.00148117968045	1	334.9757043	67.96631993
TCSG.B4L7.B1	CFC	0	0.00211251197046	1	138.3338292	132.2488251
TCSG.A4L7.B1	CFC	2.35	0.00209736921662	1	127.3341423	142.6268588
TCSG.A4R7.B1	CFC	0.808	0.0021062424239		1	117.0312444	153.6299068
TCSG.B5R7.B1	CFC	2.47	0.00239231579827	1	124.2956074	263.7083986
TCSG.D5R7.B1	CFC	0.897	0.00241547695249	1	217.2326988	155.6444438
TCSG.E5R7.B1	CFC	2.28	0.00241552417471	1	244.9825668	133.4498174
TCSG.6R7.B1	CFC	0.00873	0.0033109749748		1	332.9468524	47.34296079
TCLA.A6R7.B1	W	1.5708	0.001623303702		1	294.4450588	48.29110476
TCLA.B6R7.B1	W	0	0.00298428413367	1	157.7003831	77.17727163
TCLA.C6R7.B1	W	1.5708	0.0029161892947		1	67.7054043	153.3814492
TCLA.D6R7.B1	W	0	0.0019039414161		1	64.19120096	159.4525501
TCLA.A7R7.B1	W	0	0.00189100084542	1	65.43663316	144.4732444
TCTH.4L8.B1	W	0	0.00532646903323	1	97.70340255	129.880589
TCTVB.4L8	W	1.5708	0.00627450517664	1	168.4565093	111.5339625
TCTH.4L1.B1	W	0	0.00974949778388	1	1569.410711	611.1492848
TCTVA.4L1.B1	W	1.5708	0.0062018555547		1	1575.642654	645.0047801
