name	Material	Angle[rad]	halfgap[m]	Length[m]	betax[m]	betay[m]
TCTVA.4R1.B2	W	1.5708	0.00711423580857	1	583.5106122	237.4197694
TCTH.4R1.B2	W	0	0.0100918613322		1	580.9503926	221.7595131
TCTVB.4R2	W	1.5708	0.0057751792695		1	128.3561394	52.28935746
TCTH.4R2.B2	W	0	0.00544734320753	1	46.58121559	48.88552431
TCLA.7L3.B2	W	0	0.00436459977986	1	65.86619819	94.37770198
TCLA.6L3.B2	W	0	0.00611360024615	1	132.1132717	166.736806
TCLA.B5L3.B2	W	0	0.00661986072912	1	149.3158652	170.5016005
TCLA.A5L3.B2	W	1.5708	0.00715177098393	1	140.3140404	177.878154
TCSG.B5L3.B2	CFC	0.189	0.00355558887035	1	44.5969939	315.3122195
TCSG.A5L3.B2	CFC	2.98	0.0031557390313		1	35.17026026	346.8928869
TCSG.4L3.B2	CFC	0	0.00245585610076	1	26.08121592	396.7098874
TCSG.5R3.B2	CFC	0	0.00352699369162	1	54.90454317	297.8397895
TCP.6R3.B2	CFC	0	0.00422168989163	0.6	131.5237788	144.693439
TCL.5L5.B2	CU	0	0.0249744675206		1	74.5833094	360.9352172
TCTVA.4R5.B2	W	1.5708	0.00712077108308	1	583.510629	237.4197826
TCTH.4R5.B2	W	0	0.010106485924		1	580.9504119	221.7595251
TCSG.4L6.B2	CFC	0	0.0065397561341		1	521.7467946	173.0488787
TCDQA.A4L6.B2	C	0	0.0073237008675		3	499.5277892	165.4502264
TCDQA.B4L6.B2	C	0	0.0073237008675		3	510.7766378	169.233087
TCLA.A7L7.B2	W	0	0.00450001743736	1	65.07887154	145.2898951
TCLA.D6L7.B2	W	0	0.00434620506819	1	65.92145294	156.3959239
TCLA.C6L7.B2	W	1.5708	0.00665788426245	1	69.54316811	150.4093165
TCLA.B6L7.B2	W	0	0.00681176590638	1	161.3265307	75.61064011
TCLA.A6L7.B2	W	1.5708	0.00376159358355	1	299.7308095	48.02879375
TCSG.6L7.B2	CFC	0.00873	0.00477907067523	1	338.6124243	47.37916414
TCSG.E5L7.B2	CFC	2.28	0.00348490469503	1	237.875655	138.8176335
TCSG.D5L7.B2	CFC	0.897	0.00347728065109	1	210.5773546	161.4943875
TCSG.B5L7.B2	CFC	2.47	0.00346470163128	1	119.446532	271.4868449
TCSG.A4L7.B2	CFC	0.735	0.00300366790237	1	100.6778537	174.3891133
TCSG.A4R7.B2	CFC	2.31	0.00307944622694	1	141.1926946	129.7519258
TCSG.B4R7.B2	CFC	0	0.00319566668487	1	153.0633783	120.1551645
TCSG.D4R7.B2	CFC	1.5708	0.00213904323034	1	330.9506728	69.76927221
TCSG.A5R7.B2	CFC	0.71	0.00336787110372	1	182.630491	148.4207279
TCSG.B5R7.B2	CFC	2.51	0.0032889398139		1	156.918565	169.2002905
TCSG.A6R7.B2	CFC	2.47	0.00279296582098	1	40.49676524	224.6114474
TCP.B6R7.B2	CFC	2.23	0.00179007670332	0.6	142.4631029	87.48831047
TCP.C6R7.B2	CFC	0	0.00212762865648	0.6	150.5288206	82.76324479
TCP.D6R7.B2	CFC	1.5708	0.00153553272183	0.6	158.8712523	78.26336897
TCLIB.6L8.B2	CFC	1.5708	0.0249461174045		1	262.9363886	12.19293279
TCLIA.4L8	C	1.5708	0.0249938011098		1	333.5867811	522.4465466
TCTVB.4R8	W	1.5708	0.00575395844828	1	536.562391	335.1805962
TDI.4R8		HBN	1.5708	0.0199958823485		4.1	465.169913	327.1039233
TCTH.4R8.B2	W	0	0.00546837914356	1	238.5607912	301.3990389
TCL.5L1.B2	CU	0	0.025020018836		1	74.70992219	362.0687689
