name	Material	Angle[rad]	halfgap[m]	Length[m]	betax[m]	betay[m]
TCTVA.4R1.B2	W	1.5708	0.0107298088445		1	158.3318921	79.57196469
TCTH.4R1.B2	W	0	0.0145631484956		1	160.8262636	79.41790746
TCTVA.4R2.B2	W	1.5708	0.00773383395754	1	47.88414779	47.01346991
TCTH.4R2.B2	W	0	0.00790590694328	1	46.36585358	49.23220696
TCLA.7L3.B2	W	0	0.00925568317136	1	65.86620215	94.37769348
TCLA.6L3.B2	W	0	0.0113224803811		1	132.1132627	166.7367922
TCLA.B5L3.B2	W	0	0.0152340271479		1	149.3158603	170.5016114
TCLA.A5L3.B2	W	1.5708	0.0117238131875		1	140.3140361	177.8781656
TCSG.B5L3.B2	CFC	0.189	0.00832640630208	1	44.5969951	315.312245
TCSG.A5L3.B2	CFC	2.98	0.00731129709794	1	35.17026188	346.8929156
TCSG.4L3.B2	CFC	0	0.0048726759194		1	26.08121786	396.7099213
TCSG.5R3.B2	CFC	0	0.00685847455979	1	54.90454136	297.8397855
TCP.6R3.B2	CFC	0	0.0107572170675		0.6	131.5237823	144.693433
TCL.5L5.B2	CU	0	0.0250102249763		1	140.6440195	137.0529224
TCTVA.4R5.B2	W	1.5708	0.0105124649036		1	158.331936	79.57194356
TCTH.4R5.B2	W	0	0.0136267205369		1	160.8263074	79.41788653
TCSG.4L6.B2	CFC	0	0.0128944880044		1	521.7469425	173.0488811
TCDQA.A4L6.B2	C	0	0.0147333461727		3	499.5279366	165.4502303
TCDQA.B4L6.B2	C	0	0.0147333461727		3	510.7767855	169.2330901
TCLA.A7L7.B2	W	0	0.00768242778237	1	65.07890496	145.2899102
TCLA.D6L7.B2	W	0	0.00644994645193	1	65.92148004	156.3959382
TCLA.C6L7.B2	W	1.5708	0.0107736618268		1	69.54319537	150.4093299
TCLA.B6L7.B2	W	0	0.0101094430232		1	161.3265494	75.61064228
TCLA.A6L7.B2	W	1.5708	0.00644336834864	1	299.7308012	48.02878967
TCSG.6L7.B2	CFC	0.00873	0.00978668219743	1	338.6124073	47.37915921
TCSG.E5L7.B2	CFC	2.28	0.00732500136929	1	237.8756177	138.8176201
TCSG.D5L7.B2	CFC	0.897	0.00851072071429	1	210.5773179	161.4943724
TCSG.B5L7.B2	CFC	2.47	0.00822519186016	1	119.4465001	271.4868225
TCSG.A4L7.B2	CFC	0.735	0.00773467248414	1	100.6778589	174.389109
TCSG.A4R7.B2	CFC	2.31	0.00690249237623	1	141.1927208	129.7519258
TCSG.B4R7.B2	CFC	0	0.00667878242851	1	153.0634107	120.1551654
TCSG.D4R7.B2	CFC	1.5708	0.00509598929772	1	330.9508105	69.76927967
TCSG.A5R7.B2	CFC	0.71	0.00874677132125	1	182.6305752	148.4207395
TCSG.B5R7.B2	CFC	2.51	0.00800265711423	1	156.9186389	169.200303
TCSG.A6R7.B2	CFC	2.47	0.00725750431015	1	40.49675217	224.6114539
TCP.B6R7.B2	CFC	2.23	0.00503984256723	0.6	142.4630309	87.48830739
TCP.C6R7.B2	CFC	0	0.00593202267838	0.6	150.528745	82.76324145
TCP.D6R7.B2	CFC	1.5708	0.00429211246844	0.6	158.871173	78.2633654
TCLIB.6L8.B2	CFC	1.5708	0.00341932962191	1	228.8841436	21.32421583
TCLIA.4L8	C	1.5708	0.00671397361354	1	50.08811473	123.3080141
TCTVB.4R8	W	1.5708	0.00876867358669	1	128.3561467	52.28936282
TDI.4R8		HBN	1.5708	0.00387600000000	4.1	103.6907924	42.65997526
TCTH.4R8.B2	W	0	0.00845371270618	1	46.58123805	48.88550462
TCL.5L1.B2	CU	0	0.0249763480686		1	140.2142747	137.4030063
