        Frequency / GHz                Y140mm/imaginary
              0.10955884                      -1.2103235
               0.1100708                      -1.1552455
              0.11058276                      -1.0809882
              0.11109472                     -0.99109015
              0.11160667                     -0.88977668
              0.11211863                     -0.78176295
              0.11263059                     -0.67203576
              0.11314254                     -0.56562472
               0.1136545                     -0.46737306
              0.11416646                     -0.38171848
              0.11467842                     -0.31249399
              0.11519037                     -0.26275754
              0.11570233                     -0.23465815
              0.11621429                     -0.22934421
              0.11672624                     -0.24691794
               0.1172382                      -0.2864377
              0.11775016                     -0.34596781
              0.11826212                     -0.42267321
              0.11877407                     -0.51295448
              0.11928603                     -0.61261665
              0.11979799                     -0.71706416
              0.12030995                     -0.82151264
               0.1208219                      -0.9212081
              0.12133386                      -1.0116432
              0.12184582                      -1.0887611
              0.12235777                      -1.1491374
              0.12286973                      -1.1901321
              0.12338169                      -1.2100055
              0.12389365                      -1.2079915
               0.1244056                      -1.1843267
              0.12491756                       -1.140234
              0.12542952                      -1.0778603
              0.12594147                      -1.0001741
              0.12645343                     -0.91082456
              0.12696539                     -0.81397167
              0.12747735                     -0.71409364
               0.1279893                     -0.61578096
              0.12850126                     -0.52352653
              0.12901322                     -0.44152139
              0.12952518                     -0.37346547
              0.13003713                      -0.3224016
              0.13054909                     -0.29058049
              0.13106105                     -0.27936247
                0.131573                     -0.28916035
              0.13208496                     -0.31942576
              0.13259692                     -0.36867929
              0.13310888                     -0.43458297
              0.13362083                      -0.5140514
              0.13413279                      -0.6033964
              0.13464475                     -0.69849835
               0.1351567                     -0.79499627
              0.13566866                     -0.88848799
              0.13618062                     -0.97473105
              0.13669258                      -1.0498355
              0.13720453                      -1.1104393
              0.13771649                      -1.1538594
              0.13822845                      -1.1782103
               0.1387404                      -1.1824865
              0.13925236                      -1.1666038
              0.13976432                      -1.1313988
              0.14027628                      -1.0785862
              0.14078823                      -1.0106765
              0.14130019                     -0.93085746
              0.14181215                     -0.84284575
              0.14232411                     -0.75071464
              0.14283606                     -0.65870663
              0.14334802                     -0.57103906
              0.14385998                     -0.49171178
              0.14437193                     -0.42432566
              0.14488389                        -0.37192
              0.14539585                     -0.33683642
              0.14590781                     -0.32061507
              0.14641976                     -0.32392785
              0.14693172                     -0.34655161
              0.14744368                     -0.38738216
              0.14795563                      -0.4444885
              0.14846759                     -0.51520447
              0.14897955                      -0.5962536
              0.14949151                     -0.68390121
              0.15000346                     -0.77412679
              0.15051542                     -0.86280878
              0.15102738                     -0.94591306
