 sc Dstrippipe Lconnect Lpipe Lstrip M Rbeam Rbpm Rconn Riso1 Rpipe Rstrip Strip WStrip Xcurved Xstraight alfa angle beam_charge beam_sigma modes tap transStrip xbeam ybeam  Freq[GHz] Imp_Real[Ohm] Imp_Imag[Ohm]
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.055291379057432 0.01335524887939 -1.8361135522213
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.057339207911411 0.010939843383686 -1.8472209820406
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.05938703676539 0.00085203040349121 -1.8524196054497
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.061434865619369 -0.0095269335300804 -1.8479069255558
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.063482694473347 -0.012551800024114 -1.83698323599
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.065530523327326 -0.0059064544786114 -1.8276786878776
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.067578352181305 0.0056630593480101 -1.8269162070543
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.069626181035284 0.013754990440958 -1.8354433083439
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.071674009889263 0.012410076239808 -1.8472251675211
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.073721838743242 0.0024860123714981 -1.8537728148011
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.075769667597221 -0.0088861066377449 -1.8503019197122
