Freq[Hz] Zlong_Re Zlong_Im Zxdip_Re Zxdip_Im Zydip_Re Zydip_Im
1e-5 1.09 1.09 1.16 1.16 1.02 1.02
1e18 1.09 1.09 1.16 1.16 1.02 1.02
