Freq[Hz] Zlong_Re Zlong_Im Zxdip_Re Zxdip_Im Zydip_Re Zydip_Im
1e-5 1.105 1.105 1.01 1.01 1.2 1.2
1e18 1.105 1.105 1.01 1.01 1.2 1.2
