names            s            l            betx         bety         dx           dy          
MO.22R1.B1          1.023e+03  320.000e-03   30.064      178.789      980.705e-03  -71.064e-03
MO.24R1.B1          1.130e+03  320.000e-03   30.064      178.789        1.092     -310.173e-03
MO.25R1.B1          1.184e+03  320.000e-03  175.459       33.583        2.152      -84.868e-03
MO.26R1.B1          1.237e+03  320.000e-03   30.064      178.789      955.587e-03   44.079e-03
MO.28R1.B1          1.344e+03  320.000e-03   30.064      178.789      867.270e-03  314.008e-03
MO.29R1.B1          1.397e+03  320.000e-03  175.459       33.583        1.889       93.864e-03
MO.30R1.B1          1.451e+03  320.000e-03   30.064      178.789        1.019      -16.761e-03
MO.31R1.B1          1.504e+03  320.000e-03  175.459       33.583        2.263      -95.243e-03
MO.32R1.B1          1.558e+03  320.000e-03   30.064      178.789        1.081     -315.466e-03
MO.33R1.B1          1.611e+03  320.000e-03  175.459       33.583        2.066     -102.150e-03
MO.34R1.B1          1.665e+03  320.000e-03   30.064      178.789      919.322e-03  -10.684e-03
MO.33L2.B1          1.718e+03  320.000e-03  175.459       33.583        1.725       86.356e-03
MO.32L2.B1          1.771e+03  320.000e-03   30.064      178.789      884.112e-03  314.536e-03
MO.31L2.B1          1.825e+03  320.000e-03  175.459       33.583        1.980      109.663e-03
MO.30L2.B1          1.878e+03  320.000e-03   30.064      178.789        1.052       38.049e-03
MO.29L2.B1          1.932e+03  320.000e-03  175.459       33.583        2.278      -76.815e-03
MO.28L2.B1          1.985e+03  320.000e-03   30.064      178.789        1.059     -311.226e-03
MO.26L2.B1          2.092e+03  320.000e-03   30.064      178.789      889.718e-03  -65.125e-03
MO.25L2.B1          2.146e+03  320.000e-03  175.459       33.583        1.727       66.694e-03
MO.24L2.B1          2.199e+03  320.000e-03   30.064      178.789      911.624e-03  305.560e-03
MO.22L2.B1          2.306e+03  320.000e-03   30.064      178.789        1.077       91.708e-03
MO.22R2.B1          4.355e+03  320.000e-03  175.443       33.586        1.979      108.217e-03
MO.24R2.B1          4.462e+03  320.000e-03  175.443       33.586        1.719     -119.375e-03
MO.25R2.B1          4.515e+03  320.000e-03   30.067      178.776      907.996e-03 -379.620e-03
MO.26R2.B1          4.569e+03  320.000e-03  175.443       33.586        2.068     -118.629e-03
MO.28R2.B1          4.676e+03  320.000e-03  175.443       33.586        2.269      109.028e-03
MO.29R2.B1          4.729e+03  320.000e-03   30.067      178.776        1.031      379.813e-03
MO.30R2.B1          4.783e+03  320.000e-03  175.443       33.586        1.886      128.139e-03
MO.31R2.B1          4.836e+03  320.000e-03   30.066      178.776      868.889e-03   30.919e-03
MO.32R2.B1          4.890e+03  320.000e-03  175.443       33.586        1.750      -97.851e-03
MO.33R2.B1          4.943e+03  320.000e-03   30.067      178.776      943.349e-03 -377.116e-03
MO.34R2.B1          4.997e+03  320.000e-03  175.443       33.586        2.156     -136.674e-03
MO.33L3.B1          5.050e+03  320.000e-03   30.066      178.776        1.093      -63.812e-03
MO.32L3.B1          5.103e+03  320.000e-03  175.444       33.586        2.223       85.930e-03
MO.31L3.B1          5.157e+03  320.000e-03   30.066      178.776      993.047e-03  371.550e-03
MO.30L3.B1          5.210e+03  320.000e-03  175.443       33.586        1.806      144.169e-03
MO.29L3.B1          5.264e+03  320.000e-03   30.066      178.776      860.485e-03   96.219e-03
MO.28L3.B1          5.317e+03  320.000e-03  175.443       33.586        1.809      -73.355e-03
MO.26L3.B1          5.424e+03  320.000e-03  175.443       33.586        2.226     -150.567e-03
MO.25L3.B1          5.478e+03  320.000e-03   30.066      178.776        1.095     -127.895e-03
MO.24L3.B1          5.531e+03  320.000e-03  175.443       33.586        2.152       60.222e-03
MO.22L3.B1          5.638e+03  320.000e-03  175.443       33.586        1.748      155.820e-03
MO.22R3.B1          7.688e+03  320.000e-03   30.067      178.776        1.094      252.087e-03
MO.24R3.B1          7.795e+03  320.000e-03   30.066      178.775      948.260e-03 -273.194e-03
MO.25R3.B1          7.848e+03  320.000e-03  175.443       33.586        1.742     -164.524e-03
MO.26R3.B1          7.902e+03  320.000e-03   30.067      178.776      867.084e-03 -275.916e-03
MO.28R3.B1          8.009e+03  320.000e-03   30.066      178.775        1.026      249.128e-03
MO.29R3.B1          8.062e+03  320.000e-03  175.443       33.586        2.274      163.162e-03
MO.30R3.B1          8.115e+03  320.000e-03   30.067      178.776        1.081      297.645e-03
MO.31R3.B1          8.169e+03  320.000e-03  175.443       33.586        2.051       29.854e-03
MO.32R3.B1          8.222e+03  320.000e-03   30.066      178.775      912.165e-03 -223.166e-03
MO.33R3.B1          8.276e+03  320.000e-03  175.443       33.586        1.717     -160.558e-03
MO.34R3.B1          8.329e+03  320.000e-03   30.067      178.776      886.383e-03 -317.110e-03
MO.33L4.B1          8.383e+03  320.000e-03  175.443       33.586        1.996      -43.858e-03
MO.32L4.B1          8.436e+03  320.000e-03   30.066      178.775        1.059      195.507e-03
MO.31L4.B1          8.490e+03  320.000e-03  175.443       33.586        2.283      156.732e-03
MO.30L4.B1          8.543e+03  320.000e-03   30.067      178.776        1.056      334.163e-03
MO.29L4.B1          8.596e+03  320.000e-03  175.443       33.586        1.955       57.529e-03
MO.28L4.B1          8.650e+03  320.000e-03   30.066      178.775      883.535e-03 -166.360e-03
MO.26L4.B1          8.757e+03  320.000e-03   30.067      178.776      916.074e-03 -348.673e-03
MO.25L4.B1          8.810e+03  320.000e-03  175.443       33.586        2.091      -70.761e-03
MO.24L4.B1          8.864e+03  320.000e-03   30.066      178.775        1.083      135.948e-03
MO.22L4.B1          8.971e+03  320.000e-03   30.067      178.776        1.022      360.531e-03
MO.22R4.B1         11.020e+03  320.000e-03  175.444       33.586        1.763       92.947e-03
MO.24R4.B1         11.127e+03  320.000e-03  175.443       33.586        2.176     -131.834e-03
MO.25R4.B1         11.180e+03  320.000e-03   30.066      178.776        1.095     -374.818e-03
MO.26R4.B1         11.233e+03  320.000e-03  175.444       33.586        2.207     -104.446e-03
MO.28R4.B1         11.340e+03  320.000e-03  175.443       33.586        1.788      122.724e-03
MO.29R4.B1         11.394e+03  320.000e-03   30.066      178.776      860.487e-03  378.887e-03
MO.30R4.B1         11.447e+03  320.000e-03  175.443       33.586        1.829      115.150e-03
MO.31R4.B1         11.501e+03  320.000e-03   30.066      178.776      993.068e-03  -13.599e-03
MO.32R4.B1         11.554e+03  320.000e-03  175.443       33.586        2.240     -112.680e-03
MO.33R4.B1         11.608e+03  320.000e-03   30.067      178.776        1.093     -380.073e-03
MO.34R4.B1         11.661e+03  320.000e-03  175.443       33.586        2.130     -124.979e-03
MO.33L5.B1         11.715e+03  320.000e-03   30.066      178.776      943.329e-03  -19.552e-03
MO.32L5.B1         11.768e+03  320.000e-03  175.443       33.586        1.737      101.779e-03
MO.31L5.B1         11.821e+03  320.000e-03   30.067      178.776      868.897e-03  378.368e-03
MO.30L5.B1         11.875e+03  320.000e-03  175.443       33.586        1.914      133.856e-03
MO.29L5.B1         11.928e+03  320.000e-03   30.066      178.776        1.031       52.554e-03
MO.28L5.B1         11.982e+03  320.000e-03  175.443       33.586        2.277      -90.104e-03
MO.26L5.B1         12.089e+03  320.000e-03  175.443       33.586        2.039     -141.715e-03
MO.25L5.B1         12.142e+03  320.000e-03   30.066      178.776      907.979e-03  -85.156e-03
MO.24L5.B1         12.196e+03  320.000e-03  175.443       33.586        1.716       77.743e-03
MO.22L5.B1         12.302e+03  320.000e-03  175.443       33.586        2.009      148.496e-03
MO.22R5.B1         14.352e+03  320.000e-03   30.064      178.789        1.002      292.780e-03
MO.24R5.B1         14.459e+03  320.000e-03   30.064      178.789      875.869e-03  259.256e-03
MO.25R5.B1         14.513e+03  320.000e-03  175.458       33.583        1.814        4.371e-03
MO.26R5.B1         14.566e+03  320.000e-03   30.064      178.789      970.930e-03 -270.225e-03
MO.28R5.B1         14.673e+03  320.000e-03   30.064      178.789        1.081     -282.766e-03
MO.29R5.B1         14.727e+03  320.000e-03  175.458       33.583        2.155      -18.773e-03
MO.30R5.B1         14.780e+03  320.000e-03   30.064      178.789      967.258e-03  245.625e-03
MO.31R5.B1         14.834e+03  320.000e-03  175.459       33.583        1.792      163.908e-03
MO.32R5.B1         14.887e+03  320.000e-03   30.064      178.789      876.491e-03  304.135e-03
MO.33R5.B1         14.940e+03  320.000e-03  175.459       33.583        1.880       33.033e-03
MO.34R5.B1         14.994e+03  320.000e-03   30.064      178.789        1.006     -219.165e-03
MO.33L6.B1         15.047e+03  320.000e-03  175.459       33.583        2.227     -161.034e-03
MO.32L6.B1         15.101e+03  320.000e-03   30.064      178.789        1.074     -323.202e-03
MO.31L6.B1         15.154e+03  320.000e-03  175.459       33.583        2.081      -47.042e-03
MO.30L6.B1         15.208e+03  320.000e-03   30.064      178.789      933.736e-03  191.047e-03
MO.29L6.B1         15.261e+03  320.000e-03  175.459       33.583        1.758      156.942e-03
MO.28L6.B1         15.315e+03  320.000e-03   30.064      178.789      888.651e-03  339.823e-03
MO.26L6.B1         15.421e+03  320.000e-03   30.064      178.789        1.037     -161.483e-03
MO.25L6.B1         15.475e+03  320.000e-03  175.459       33.583        2.248     -151.661e-03
MO.24L6.B1         15.528e+03  320.000e-03   30.064      178.789        1.057     -353.871e-03
MO.22L6.B1         15.635e+03  320.000e-03   30.064      178.789      905.234e-03  130.697e-03
MO.22R6.B1         17.684e+03  320.000e-03  175.459       33.583        1.998       -2.598e-03
MO.24R6.B1         17.791e+03  320.000e-03  175.459       33.583        2.248      165.656e-03
MO.25R6.B1         17.845e+03  320.000e-03   30.064      178.789        1.046      279.991e-03
MO.26R6.B1         17.898e+03  320.000e-03  175.459       33.583        1.959       17.010e-03
MO.28R6.B1         18.005e+03  320.000e-03  175.459       33.583        1.758     -164.176e-03
MO.29R6.B1         18.059e+03  320.000e-03   30.064      178.789      924.093e-03 -301.632e-03
MO.30R6.B1         18.112e+03  320.000e-03  175.459       33.583        2.081      -31.293e-03
MO.31R6.B1         18.166e+03  320.000e-03   30.064      178.789        1.070      222.507e-03
MO.32R6.B1         18.219e+03  320.000e-03  175.459       33.583        2.228      161.453e-03
MO.33R6.B1         18.272e+03  320.000e-03   30.064      178.789        1.016      320.990e-03
MO.34R6.B1         18.326e+03  320.000e-03  175.459       33.583        1.880       45.340e-03
MO.33L7.B1         18.379e+03  320.000e-03   30.064      178.789      879.101e-03 -194.581e-03
MO.32L7.B1         18.433e+03  320.000e-03  175.458       33.583        1.792     -157.509e-03
MO.31L7.B1         18.486e+03  320.000e-03   30.064      178.789      956.434e-03 -337.918e-03
MO.30L7.B1         18.540e+03  320.000e-03  175.459       33.583        2.155      -59.043e-03
MO.29L7.B1         18.593e+03  320.000e-03   30.064      178.789        1.080      165.183e-03
MO.28L7.B1         18.647e+03  320.000e-03  175.458       33.583        2.181      152.372e-03
MO.26L7.B1         18.753e+03  320.000e-03  175.459       33.583        1.814       72.299e-03
MO.25L7.B1         18.807e+03  320.000e-03   30.064      178.789      874.791e-03 -134.534e-03
MO.24L7.B1         18.860e+03  320.000e-03  175.458       33.583        1.850     -146.082e-03
MO.22L7.B1         18.967e+03  320.000e-03  175.459       33.583        2.211      -85.008e-03
MO.22R7.B1         21.017e+03  320.000e-03   30.064      178.789      948.314e-03   35.528e-03
MO.24R7.B1         21.124e+03  320.000e-03   30.064      178.789        1.079      382.427e-03
MO.25R7.B1         21.178e+03  320.000e-03  175.458       33.583        2.194      119.495e-03
MO.26R7.B1         21.231e+03  320.000e-03   30.064      178.789      990.238e-03   -2.257e-03
MO.28R7.B1         21.338e+03  320.000e-03   30.064      178.789      874.751e-03 -382.623e-03
MO.29R7.B1         21.391e+03  320.000e-03  175.458       33.583        1.834     -129.051e-03
MO.30R7.B1         21.445e+03  320.000e-03   30.064      178.789      982.864e-03  -31.030e-03
MO.31R7.B1         21.498e+03  320.000e-03  175.459       33.583        2.199       98.614e-03
MO.32R7.B1         21.552e+03  320.000e-03   30.064      178.789        1.080      379.923e-03
MO.33R7.B1         21.605e+03  320.000e-03  175.458       33.583        2.131      137.630e-03
MO.34R7.B1         21.659e+03  320.000e-03   30.064      178.789      955.476e-03   64.083e-03
MO.33L8.B1         21.712e+03  320.000e-03  175.459       33.583        1.778      -86.640e-03
MO.32L8.B1         21.766e+03  320.000e-03   30.064      178.789      879.389e-03 -374.348e-03
MO.31L8.B1         21.819e+03  320.000e-03  175.459       33.583        1.906     -145.168e-03
MO.30L8.B1         21.873e+03  320.000e-03   30.064      178.789        1.017      -96.651e-03
MO.29L8.B1         21.926e+03  320.000e-03  175.459       33.583        2.238       74.011e-03
MO.28L8.B1         21.979e+03  320.000e-03   30.064      178.789        1.070      365.940e-03
MO.26L8.B1         22.086e+03  320.000e-03   30.064      178.789      923.259e-03  128.487e-03
MO.25L8.B1         22.140e+03  320.000e-03  175.459       33.583        1.753      -60.822e-03
MO.24L8.B1         22.193e+03  320.000e-03   30.064      178.789      895.235e-03 -354.761e-03
MO.22L8.B1         22.300e+03  320.000e-03   30.064      178.789        1.046     -159.351e-03
MO.22R8.B1         24.349e+03  320.000e-03  175.443       33.586        1.776       71.984e-03
MO.24R8.B1         24.456e+03  320.000e-03  175.443       33.586        2.214      153.186e-03
MO.25R8.B1         24.510e+03  320.000e-03   30.066      178.775        1.101      134.546e-03
MO.26R8.B1         24.563e+03  320.000e-03  175.443       33.586        2.188      -58.622e-03
MO.28R8.B1         24.670e+03  320.000e-03  175.443       33.586        1.754     -158.299e-03
MO.29R8.B1         24.723e+03  320.000e-03   30.067      178.775      856.620e-03 -165.399e-03
MO.30R8.B1         24.777e+03  320.000e-03  175.443       33.586        1.853       44.815e-03
MO.31R8.B1         24.830e+03  320.000e-03   30.066      178.776        1.010      339.293e-03
MO.32R8.B1         24.884e+03  320.000e-03  175.443       33.586        2.270      162.208e-03
MO.33R8.B1         24.937e+03  320.000e-03   30.067      178.775        1.094      194.993e-03
MO.34R8.B1         24.991e+03  320.000e-03  175.443       33.586        2.101      -30.667e-03
MO.33L1.B1         25.044e+03  320.000e-03   30.066      178.776      926.633e-03 -322.285e-03
MO.32L1.B1         25.098e+03  320.000e-03  175.443       33.586        1.712     -164.883e-03
MO.31L1.B1         25.151e+03  320.000e-03   30.067      178.775      870.645e-03 -223.104e-03
MO.30L1.B1         25.204e+03  320.000e-03  175.443       33.586        1.948       16.285e-03
MO.29L1.B1         25.258e+03  320.000e-03   30.066      178.776        1.047      302.826e-03
MO.28L1.B1         25.311e+03  320.000e-03  175.443       33.586        2.296      166.304e-03
MO.26L1.B1         25.418e+03  320.000e-03  175.443       33.586        2.002       -1.780e-03
MO.25L1.B1         25.472e+03  320.000e-03   30.066      178.776      892.344e-03 -281.062e-03
MO.24L1.B1         25.525e+03  320.000e-03  175.443       33.586        1.703     -166.459e-03
MO.22L1.B1         25.632e+03  320.000e-03  175.443       33.586        2.048      -12.739e-03
