names            s            l            betx         bety         dx           dy          
MO.28L5.B1         11.982e+03  320.000e-03   65.522       57.075        2.178        0.       
MO.26L5.B1         12.089e+03  320.000e-03  510.740       49.552        2.178        0.       
MO.25L5.B1         12.142e+03  320.000e-03   66.437       63.879        1.080        0.       
MO.24L5.B1         12.196e+03  320.000e-03   65.544       57.056        2.178        0.       
MO.22L5.B1         12.302e+03  320.000e-03  510.717       49.571        2.178        0.       
MO.22R5.B1         14.352e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.24R5.B1         14.459e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.25R5.B1         14.513e+03  320.000e-03   66.316       56.056        2.178        0.       
MO.26R5.B1         14.566e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.28R5.B1         14.673e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.29R5.B1         14.727e+03  320.000e-03   66.316       56.056        2.178        0.       
MO.30R5.B1         14.780e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.31R5.B1         14.834e+03  320.000e-03  510.003       50.553        2.178        0.       
MO.32R5.B1         14.887e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.33R5.B1         14.940e+03  320.000e-03   66.316       56.056        2.178        0.       
MO.34R5.B1         14.994e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.33L6.B1         15.047e+03  320.000e-03  510.003       50.553        2.178        0.       
MO.32L6.B1         15.101e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.31L6.B1         15.154e+03  320.000e-03   66.316       56.056        2.178        0.       
MO.30L6.B1         15.208e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.29L6.B1         15.261e+03  320.000e-03  510.003       50.553        2.178        0.       
MO.28L6.B1         15.315e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.26L6.B1         15.421e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.25L6.B1         15.475e+03  320.000e-03  510.003       50.553        2.178        0.       
MO.24L6.B1         15.528e+03  320.000e-03   67.030       62.952        1.080        0.       
MO.22L6.B1         15.635e+03  320.000e-03   39.578      513.413        1.080        0.       
MO.22R6.B1         17.684e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.24R6.B1         17.791e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.25R6.B1         17.845e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.26R6.B1         17.898e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.28R6.B1         18.005e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.29R6.B1         18.059e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.30R6.B1         18.112e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.31R6.B1         18.166e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.32R6.B1         18.219e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.33R6.B1         18.272e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.34R6.B1         18.326e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.33L7.B1         18.379e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.32L7.B1         18.433e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.31L7.B1         18.486e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.30L7.B1         18.540e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.29L7.B1         18.593e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.28L7.B1         18.647e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.26L7.B1         18.753e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.25L7.B1         18.807e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.24L7.B1         18.860e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.22L7.B1         18.967e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.22R7.B1         21.017e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.24R7.B1         21.124e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.25R7.B1         21.178e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.26R7.B1         21.231e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.28R7.B1         21.338e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.29R7.B1         21.391e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.30R7.B1         21.445e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.31R7.B1         21.498e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.32R7.B1         21.552e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.33R7.B1         21.605e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.34R7.B1         21.659e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.33L8.B1         21.712e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.32L8.B1         21.766e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.31L8.B1         21.819e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.30L8.B1         21.873e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.29L8.B1         21.926e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.28L8.B1         21.979e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.26L8.B1         22.086e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.25L8.B1         22.140e+03  320.000e-03  176.150       32.397        2.125        0.       
MO.24L8.B1         22.193e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.22L8.B1         22.300e+03  320.000e-03   31.725      176.824        1.048        0.       
MO.22R8.B1         24.349e+03  320.000e-03  510.853       49.457        2.178        0.       
MO.24R8.B1         24.456e+03  320.000e-03   65.431       57.152        2.178        0.       
MO.25R8.B1         24.510e+03  320.000e-03   40.262      512.356        1.080        0.       
MO.26R8.B1         24.563e+03  320.000e-03  510.830       49.476        2.178        0.       
MO.28R8.B1         24.670e+03  320.000e-03   65.454       57.133        2.178        0.       
MO.29R8.B1         24.723e+03  320.000e-03   40.244      512.375        1.080        0.       
MO.30R8.B1         24.777e+03  320.000e-03  510.808       49.495        2.178        0.       
MO.31R8.B1         24.830e+03  320.000e-03   66.382       63.936        1.080        0.       
MO.32R8.B1         24.884e+03  320.000e-03   65.476       57.113        2.178        0.       
MO.33R8.B1         24.937e+03  320.000e-03   40.225      512.394        1.080        0.       
MO.34R8.B1         24.991e+03  320.000e-03  510.785       49.514        2.178        0.       
MO.33L1.B1         25.044e+03  320.000e-03   66.400       63.917        1.080        0.       
MO.32L1.B1         25.098e+03  320.000e-03   65.499       57.094        2.178        0.       
MO.31L1.B1         25.151e+03  320.000e-03   40.207      512.413        1.080        0.       
MO.30L1.B1         25.204e+03  320.000e-03  510.763       49.533        2.178        0.       
MO.29L1.B1         25.258e+03  320.000e-03   66.418       63.898        1.080        0.       
MO.28L1.B1         25.311e+03  320.000e-03   65.522       57.075        2.178        0.       
MO.26L1.B1         25.418e+03  320.000e-03  510.740       49.552        2.178        0.       
MO.25L1.B1         25.472e+03  320.000e-03   66.437       63.879        1.080        0.       
MO.24L1.B1         25.525e+03  320.000e-03   65.544       57.056        2.178        0.       
MO.22L1.B1         25.632e+03  320.000e-03  510.717       49.571        2.178        0.       
