names            s            l            betx         bety         dx           dy          
MO.31R4.B1         11.501e+03  320.000e-03   30.066      178.776      992.397e-03  -38.888e-03
MO.32R4.B1         11.554e+03  320.000e-03  175.443       33.586        2.016      -35.389e-03
MO.33R4.B1         11.608e+03  320.000e-03   30.066      178.776      973.269e-03  -81.239e-03
MO.34R4.B1         11.661e+03  320.000e-03  175.443       33.586        1.966      -16.451e-03
MO.33L5.B1         11.715e+03  320.000e-03   30.066      178.776      964.206e-03   31.802e-03
MO.32L5.B1         11.768e+03  320.000e-03  175.443       33.586        1.990       33.954e-03
MO.31L5.B1         11.821e+03  320.000e-03   30.066      178.776      984.866e-03   84.013e-03
MO.30L5.B1         11.875e+03  320.000e-03  175.443       33.586        2.035       19.412e-03
MO.29L5.B1         11.928e+03  320.000e-03   30.066      178.776      990.436e-03  -24.475e-03
MO.28L5.B1         11.982e+03  320.000e-03  175.443       33.586        2.004      -32.261e-03
MO.26L5.B1         12.089e+03  320.000e-03  175.443       33.586        1.964      -22.226e-03
MO.25L5.B1         12.142e+03  320.000e-03   30.066      178.776      966.917e-03   16.961e-03
MO.24L5.B1         12.196e+03  320.000e-03  175.443       33.586        2.002       30.322e-03
MO.22L5.B1         12.302e+03  320.000e-03  175.443       33.586        2.035       24.871e-03
MO.22R5.B1         14.352e+03  320.000e-03   30.064      178.789        1.041      101.861e-03
MO.24R5.B1         14.459e+03  320.000e-03   30.064      178.789      977.000e-03   29.417e-03
MO.25R5.B1         14.513e+03  320.000e-03  175.459       33.583        1.880      -19.082e-03
MO.26R5.B1         14.566e+03  320.000e-03   30.064      178.789      914.329e-03  -99.302e-03
MO.28R5.B1         14.673e+03  320.000e-03   30.064      178.789      989.401e-03  -38.056e-03
MO.29R5.B1         14.727e+03  320.000e-03  175.459       33.583        2.134       15.423e-03
MO.30R5.B1         14.780e+03  320.000e-03   30.064      178.789        1.039       95.991e-03
MO.31R5.B1         14.834e+03  320.000e-03  175.459       33.583        2.063       43.392e-03
MO.32R5.B1         14.887e+03  320.000e-03   30.064      178.789      955.829e-03   46.407e-03
MO.33R5.B1         14.940e+03  320.000e-03  175.459       33.583        1.854      -11.648e-03
MO.34R5.B1         14.994e+03  320.000e-03   30.064      178.789      920.013e-03  -91.953e-03
MO.33L6.B1         15.047e+03  320.000e-03  175.459       33.583        1.961      -44.405e-03
MO.32L6.B1         15.101e+03  320.000e-03   30.064      178.789        1.010      -54.407e-03
MO.31L6.B1         15.154e+03  320.000e-03  175.459       33.583        2.152        7.785e-03
MO.30L6.B1         15.208e+03  320.000e-03   30.064      178.789        1.030       87.220e-03
MO.29L6.B1         15.261e+03  320.000e-03  175.459       33.583        2.013       45.082e-03
MO.28L6.B1         15.315e+03  320.000e-03   30.064      178.789      937.162e-03   61.995e-03
MO.26L6.B1         15.421e+03  320.000e-03   30.064      178.789      932.281e-03  -81.827e-03
MO.25L6.B1         15.475e+03  320.000e-03  175.459       33.583        2.013      -45.418e-03
MO.24L6.B1         15.528e+03  320.000e-03   30.064      178.789        1.026      -69.114e-03
MO.22L6.B1         15.635e+03  320.000e-03   30.064      178.789        1.015       75.814e-03
MO.22R6.B1         17.684e+03  320.000e-03  175.459       33.583        1.848       19.521e-03
MO.24R6.B1         17.791e+03  320.000e-03  175.459       33.583        2.037       41.863e-03
MO.25R6.B1         17.845e+03  320.000e-03   30.064      178.789        1.032       37.010e-03
MO.26R6.B1         17.898e+03  320.000e-03  175.459       33.583        2.146      -15.879e-03
MO.28R6.B1         18.005e+03  320.000e-03  175.459       33.583        1.938      -43.244e-03
MO.29R6.B1         18.059e+03  320.000e-03   30.064      178.789      918.656e-03  -45.400e-03
MO.30R6.B1         18.112e+03  320.000e-03  175.459       33.583        1.864       12.117e-03
MO.31R6.B1         18.166e+03  320.000e-03   30.064      178.789      959.055e-03   92.487e-03
MO.32R6.B1         18.219e+03  320.000e-03  175.459       33.583        2.084       44.299e-03
MO.33R6.B1         18.272e+03  320.000e-03   30.064      178.789        1.040       53.446e-03
MO.34R6.B1         18.326e+03  320.000e-03  175.459       33.583        2.121       -8.263e-03
MO.33L7.B1         18.379e+03  320.000e-03   30.064      178.789      986.038e-03  -87.837e-03
MO.32L7.B1         18.433e+03  320.000e-03  175.459       33.583        1.895      -45.017e-03
MO.31L7.B1         18.486e+03  320.000e-03   30.064      178.789      914.087e-03  -61.088e-03
MO.30L7.B1         18.540e+03  320.000e-03  175.459       33.583        1.896        4.347e-03
MO.29L7.B1         18.593e+03  320.000e-03   30.064      178.789      980.404e-03   82.523e-03
MO.28L7.B1         18.647e+03  320.000e-03  175.459       33.583        2.122       45.396e-03
MO.26L7.B1         18.753e+03  320.000e-03  175.459       33.583        2.082     -397.420e-06
MO.25L7.B1         18.807e+03  320.000e-03   30.064      178.789      964.526e-03  -76.584e-03
MO.24L7.B1         18.860e+03  320.000e-03  175.459       33.583        1.863      -45.430e-03
MO.22L7.B1         18.967e+03  320.000e-03  175.459       33.583        1.940       -3.555e-03
MO.22R7.B1         21.017e+03  320.000e-03   30.064      178.789      914.527e-03   55.042e-03
MO.24R7.B1         21.124e+03  320.000e-03   30.064      178.789      975.221e-03   91.593e-03
MO.25R7.B1         21.178e+03  320.000e-03  175.459       33.583        2.114       15.347e-03
MO.26R7.B1         21.231e+03  320.000e-03   30.064      178.789        1.042      -47.073e-03
MO.28R7.B1         21.338e+03  320.000e-03   30.064      178.789      969.635e-03  -95.688e-03
MO.29R7.B1         21.391e+03  320.000e-03  175.459       33.583        1.869      -19.008e-03
MO.30R7.B1         21.445e+03  320.000e-03   30.064      178.789      915.473e-03   38.749e-03
MO.31R7.B1         21.498e+03  320.000e-03  175.459       33.583        1.929       40.427e-03
MO.32R7.B1         21.552e+03  320.000e-03   30.064      178.789      996.572e-03   99.060e-03
MO.33R7.B1         21.605e+03  320.000e-03  175.459       33.583        2.142       22.525e-03
MO.34R7.B1         21.659e+03  320.000e-03   30.064      178.789        1.037      -30.130e-03
MO.33L8.B1         21.712e+03  320.000e-03  175.459       33.583        2.046      -38.467e-03
MO.32L8.B1         21.766e+03  320.000e-03   30.064      178.789      949.057e-03 -101.681e-03
