name 	 betax 	 betay 	 length
BS_50A	8.80499e+01	9.00386e+01	2.19920348e+04
BS_50L	1.62734e+02	1.63217e+02	1.67234600e+02
BS_53V	2.35082e+02	2.33462e+02	1.57630000e+01
BS_53H	7.96667e+01	7.94725e+01	1.57630000e+01
BS_63V	3.82556e+02	3.89322e+02	2.36731500e+02
BS_63H	1.55388e+02	1.54985e+02	4.74880000e+01
BS_69	7.30657e+02	7.53128e+02	1.30644500e+02
BS_74	3.18047e+02	3.16074e+02	5.38240000e+01
MBW	1.38193e+02	1.36062e+02	7.06000001e+01
MQW_V	1.92143e+02	2.09956e+02	7.45920000e+01
MQW_H	1.92143e+02	2.09956e+02	7.45920000e+01
Warm_Pipe	3.79182e+02	3.90648e+02	3.47731580e+03
BS_101	1.88415e+03	1.89099e+03	3.80000000e+01
taperBS101_BS121	2.66583e+03	2.67552e+03	1.48000000e-01
BS_121	4.74253e+03	4.75975e+03	2.08652000e+02
BPMCW	1.15397e+03	1.15818e+03	1.20000000e+00
BPMs	4.53891e+03	4.56250e+03	6.00000000e+00
RF	2.28548e+02	3.02775e+02	8.76000000e+00
CMS	5.55499e+02	5.57178e+02	1.86000000e+01
ATLAS	6.84521e+02	6.87407e+02	8.00000000e+00
ALICE	3.95648e+01	3.94948e+01	8.60000000e+00
LHCb	1.01618e+02	1.00944e+02	8.60000000e+00
BBC_H	1.64923e+03	1.63809e+03	2.00000000e+00
BBC_V	1.64806e+03	1.63883e+03	2.00000000e+00
Crab	1.35924e+03	1.38114e+03	2.60000000e+01
