names            s            l            betx         bety         dx           dy          
MO.22R1.B1          1.023e+03  320.000e-03   31.672      194.213        1.080        0.       
MO.24R1.B1          1.130e+03  320.000e-03   33.736      159.604        1.080        0.       
MO.25R1.B1          1.184e+03  320.000e-03  160.468       32.969        2.178        0.       
MO.26R1.B1          1.237e+03  320.000e-03   31.673      194.211        1.080        0.       
MO.28R1.B1          1.344e+03  320.000e-03   33.735      159.605        1.080        0.       
MO.29R1.B1          1.397e+03  320.000e-03  160.466       32.970        2.178        0.       
MO.30R1.B1          1.451e+03  320.000e-03   31.674      194.210        1.080        0.       
MO.31R1.B1          1.504e+03  320.000e-03  193.183       32.464        2.178        0.       
MO.32R1.B1          1.558e+03  320.000e-03   33.734      159.607        1.080        0.       
MO.33R1.B1          1.611e+03  320.000e-03  160.464       32.972        2.178        0.       
MO.34R1.B1          1.665e+03  320.000e-03   31.675      194.209        1.080        0.       
MO.33L2.B1          1.718e+03  320.000e-03  193.184       32.462        2.177        0.       
MO.32L2.B1          1.771e+03  320.000e-03   33.732      159.608        1.080        0.       
MO.31L2.B1          1.825e+03  320.000e-03  160.462       32.973        2.178        0.       
MO.30L2.B1          1.878e+03  320.000e-03   31.677      194.208        1.080        0.       
MO.29L2.B1          1.932e+03  320.000e-03  193.186       32.461        2.178        0.       
MO.28L2.B1          1.985e+03  320.000e-03   33.731      159.609        1.080        0.       
MO.26L2.B1          2.092e+03  320.000e-03   31.678      194.206        1.080        0.       
MO.25L2.B1          2.146e+03  320.000e-03  193.188       32.460        2.177        0.       
MO.24L2.B1          2.199e+03  320.000e-03   33.730      159.611        1.080        0.       
MO.22L2.B1          2.306e+03  320.000e-03   31.679      194.205        1.080        0.       
MO.22R2.B1          4.355e+03  320.000e-03  176.217       32.539        2.126        0.       
MO.24R2.B1          4.462e+03  320.000e-03  176.062       32.251        2.124        0.       
MO.25R2.B1          4.515e+03  320.000e-03   31.722      176.488        1.047        0.       
MO.26R2.B1          4.569e+03  320.000e-03  176.217       32.540        2.124        0.       
MO.28R2.B1          4.676e+03  320.000e-03  176.062       32.251        2.125        0.       
MO.29R2.B1          4.729e+03  320.000e-03   31.723      176.491        1.048        0.       
MO.30R2.B1          4.783e+03  320.000e-03  176.217       32.540        2.125        0.       
MO.31R2.B1          4.836e+03  320.000e-03   31.722      177.140        1.048        0.       
MO.32R2.B1          4.890e+03  320.000e-03  176.063       32.251        2.124        0.       
MO.33R2.B1          4.943e+03  320.000e-03   31.725      176.494        1.047        0.       
MO.34R2.B1          4.997e+03  320.000e-03  176.215       32.540        2.124        0.       
MO.33L3.B1          5.050e+03  320.000e-03   31.721      177.137        1.047        0.       
MO.32L3.B1          5.103e+03  320.000e-03  176.065       32.251        2.125        0.       
MO.31L3.B1          5.157e+03  320.000e-03   31.726      176.497        1.048        0.       
MO.30L3.B1          5.210e+03  320.000e-03  176.213       32.541        2.125        0.       
MO.29L3.B1          5.264e+03  320.000e-03   31.720      177.133        1.048        0.       
MO.28L3.B1          5.317e+03  320.000e-03  176.068       32.250        2.124        0.       
MO.26L3.B1          5.424e+03  320.000e-03  176.210       32.541        2.124        0.       
MO.25L3.B1          5.478e+03  320.000e-03   31.718      177.130        1.047        0.       
MO.24L3.B1          5.531e+03  320.000e-03  176.071       32.250        2.125        0.       
MO.22L3.B1          5.638e+03  320.000e-03  176.206       32.541        2.125        0.       
MO.22R3.B1          7.688e+03  320.000e-03   31.743      176.412        1.047        0.       
MO.24R3.B1          7.795e+03  320.000e-03   31.704      177.222        1.048        0.       
MO.25R3.B1          7.848e+03  320.000e-03  176.214       32.538        2.126        0.       
MO.26R3.B1          7.902e+03  320.000e-03   31.742      176.409        1.048        0.       
MO.28R3.B1          8.009e+03  320.000e-03   31.705      177.225        1.047        0.       
MO.29R3.B1          8.062e+03  320.000e-03  176.224       32.538        2.124        0.       
MO.30R3.B1          8.115e+03  320.000e-03   31.740      176.406        1.047        0.       
MO.31R3.B1          8.169e+03  320.000e-03  176.051       32.253        2.125        0.       
MO.32R3.B1          8.222e+03  320.000e-03   31.707      177.228        1.048        0.       
MO.33R3.B1          8.276e+03  320.000e-03  176.232       32.537        2.126        0.       
MO.34R3.B1          8.329e+03  320.000e-03   31.739      176.403        1.048        0.       
MO.33L4.B1          8.383e+03  320.000e-03  176.043       32.254        2.125        0.       
MO.32L4.B1          8.436e+03  320.000e-03   31.708      177.230        1.047        0.       
MO.31L4.B1          8.490e+03  320.000e-03  176.240       32.537        2.124        0.       
MO.30L4.B1          8.543e+03  320.000e-03   31.737      176.400        1.047        0.       
MO.29L4.B1          8.596e+03  320.000e-03  176.036       32.254        2.125        0.       
MO.28L4.B1          8.650e+03  320.000e-03   31.710      177.233        1.048        0.       
MO.26L4.B1          8.757e+03  320.000e-03   31.736      176.397        1.048        0.       
MO.25L4.B1          8.810e+03  320.000e-03  176.030       32.254        2.124        0.       
